SYMBOL,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,s_MiaFRFP_1,s_MiaFRFP_2,s_MiaFRFP_3,s_Part1Lag_1,s_Part1Lag_2,s_Part1Lag_3
PDXDC2P-NPIPB14P,125.6,42.9,82.7,1.93460373122504,0.952038086502394,0.49,1.93,5.302e-02,9.998e-01,0.119246086718289,1186,53.7,28.1,46.8,80.3,97.9,69.9
RCAN3,2040.9,1232.1,808.8,0.657031305271267,-0.605965983268767,0.31,-1.93,5.304e-02,9.998e-01,0.119258819913003,1186,1038.7,1187,1470.6,803.6,985.8,637.1
ARMH1,171.3,53,118.4,2.23988539628891,1.16342491869567,0.6,1.93,5.304e-02,9.998e-01,0.119258819913003,1186,57,26,75.9,62.1,159.5,133.5
TTLL1,830.5,330.6,499.9,1.51057142956937,0.59509440561435,0.31,1.93,5.305e-02,9.998e-01,0.119262240491036,1187,415.3,298.9,277.5,519,464.3,516.4
MYL6B,3080.5,1197.8,1882.6,1.57094435527445,0.65163207955549,0.34,1.93,5.305e-02,9.998e-01,0.119264474505976,1187,1411.8,1073.8,1107.9,1684.2,1421.5,2542.2
HCN3,1001.3,658,343.3,0.521048726636674,-0.940509800329853,0.49,-1.93,5.307e-02,9.998e-01,0.119273155969587,1187,483.8,524.6,965.5,222.6,257.5,549.8
UBE2Q1,4544.7,1861.2,2683.5,1.44193810747564,0.528009240893375,0.27,1.93,5.306e-02,9.998e-01,0.119273155969587,1187,1655.3,1681.4,2247,2685.8,2391.9,2972.8
PRELP,31.7,6,25.7,4.27221291501715,2.09498354866052,1.08,1.93,5.310e-02,9.998e-01,0.119324478790508,1188,8.1,5.6,4.2,27.8,3.3,46.1
GALR2,155.6,112.2,43.4,0.388056606515573,-1.3656609786022,0.71,-1.93,5.313e-02,9.998e-01,0.119393310041832,1188,73.1,59.8,203.7,70.6,19.8,39.7
CEP72,2275.7,1476.1,799.6,0.541724002956448,-0.884370079066314,0.46,-1.93,5.315e-02,9.998e-01,0.119412154635657,1189,1065.5,933.9,2428.9,581,869.2,948.6
SMARCA1,18812.3,11710.7,7101.6,0.60645202395924,-0.721534575730833,0.37,-1.93,5.315e-02,9.998e-01,0.119417249760992,1189,11416.2,15225.5,8490.3,7931,8650,4723.8
IRF2BP2,12102.4,4666.3,7436.1,1.59379090299785,0.672462367725177,0.35,1.93,5.318e-02,9.998e-01,0.119456645950593,1189,3675.7,3689.1,6634,6669.5,8601.6,7037.2
CPB2-AS1,10,0.9,9.1,9.46215497432202,3.24216878998241,1.68,1.93,5.318e-02,9.998e-01,0.119456645950593,1190,1.3,1.4,0,2.1,18.7,6.4
DMXL2,2521.5,1554.3,967.3,0.62262794297796,-0.683557769781028,0.35,-1.93,5.324e-02,9.998e-01,0.119574069745906,1191,1272.9,1997.2,1392.7,1249.8,941.8,710.2
LENG9,539.7,366,173.7,0.473388125814898,-1.078904576062,0.56,-1.93,5.324e-02,9.998e-01,0.119574069745906,1191,397.9,201.1,498.9,107,112.2,301.9
OGFRP1,733.3,463.8,269.5,0.581676342857167,-0.781711464843356,0.4,-1.93,5.329e-02,9.998e-01,0.119663664473249,1192,389.2,305.9,696.3,276.1,260.8,271.7
SBNO1-AS1,135.4,42.7,92.7,2.15748909373134,1.10935326649138,0.57,1.93,5.330e-02,9.998e-01,0.119687039471485,1192,54.4,41.5,32.2,44.9,101.2,131.9
PARP4P1,38.5,29.7,8.8,0.304564505378002,-1.71518027814082,0.89,-1.93,5.335e-02,9.998e-01,0.11976733495531,1193,26.2,38,24.9,12.8,12.1,1.6
SDHAF3,3449,1014.1,2434.9,2.40080949032466,1.26352092698839,0.65,1.93,5.338e-02,9.998e-01,0.119827327975996,1194,1052.1,1572.4,417.8,4850.4,1307.1,1147.2
FCHSD1,1940.9,1235.4,705.5,0.570740518618233,-0.809093106895685,0.42,-1.93,5.339e-02,9.998e-01,0.119836018054933,1194,1109.1,926.9,1670.2,489,585.3,1042.3
ZNF543,1043,637.4,405.6,0.636333295531882,-0.652145483682764,0.34,-1.93,5.340e-02,9.998e-01,0.119847819980222,1194,647.5,713.8,550.8,308.2,533.6,375
PEPD,22959.8,14185.5,8774.3,0.618500397361718,-0.693153572811674,0.36,-1.93,5.345e-02,9.998e-01,0.119942702287815,1195,13342,11644.7,17569.8,7005.5,6947.9,12369.5
MIF4GD-DT,758.8,476.5,282.3,0.591701369662215,-0.757058860264878,0.39,-1.93,5.345e-02,9.998e-01,0.119942702287815,1196,489.8,339,600.7,200.1,282.8,363.9
CKMT1A,87.5,65,22.5,0.340838290354256,-1.5528406754001,0.8,-1.93,5.348e-02,9.998e-01,0.119984744399993,1196,71.8,57.7,65.5,4.3,18.7,44.5
SUGT1-DT,60.3,18.1,42.2,2.32258288421002,1.21573008186309,0.63,1.93,5.348e-02,9.998e-01,0.119984744399993,1196,14.1,22.5,17.7,26.8,47.3,52.4
HMGCL,6594.3,3825.6,2768.7,0.723862894630515,-0.4662116295789,0.24,-1.93,5.351e-02,9.998e-01,0.12003337390442,1197,3801.2,3376.9,4298.7,2930.8,2775.9,2599.4
BRCA2,2422.2,1676.2,746,0.44527236111327,-1.16724003110191,0.6,-1.93,5.351e-02,9.998e-01,0.12003337390442,1197,1259.5,2584.4,1184.8,1388.9,585.3,263.8
PGAP3,2809.4,990.8,1818.5,1.83552290627035,0.876191118554287,0.45,1.93,5.352e-02,9.998e-01,0.12003337390442,1197,873,641.3,1458.2,1184.5,1598.6,2672.5
PERPP3,7.3,0,7.3,49.9619814416545,5.64275878879406,2.92,1.93,5.354e-02,9.998e-01,0.120062702236587,1198,0,0,0,0,4.4,17.5
DDX50P1,89.7,27.5,62.2,2.26231246829328,1.17779820665927,0.61,1.93,5.355e-02,9.998e-01,0.120086645713077,1198,31.5,30.2,20.8,91,63.8,31.8
FAM120A,11716.6,6977.7,4738.9,0.67921677876328,-0.558055996509391,0.29,-1.93,5.357e-02,9.998e-01,0.120113889805846,1198,5524.9,6755.9,8652.4,5326.6,4403.1,4487
PRKAB1,3946.9,2294.1,1652.7,0.720352685883433,-0.473224669449674,0.25,-1.93,5.361e-02,9.998e-01,0.12018496430078,1199,2372,2029.5,2480.9,1508.7,1652.5,1797
PSMB1,28788.3,11545.1,17243.2,1.49349286199005,0.578690342438683,0.3,1.93,5.362e-02,9.998e-01,0.120197681746935,1199,13907,12551.9,8176.4,17295.9,17480.4,16953.4
CALM2P3,835.5,276.6,558.8,2.01978822227734,1.01420403224076,0.53,1.93,5.366e-02,9.998e-01,0.120273851410653,1200,324.1,353,152.8,906.3,473.1,297.1
SMC6,3753.2,2477.2,1276,0.515241381989706,-0.956679625670512,0.5,-1.93,5.375e-02,9.998e-01,0.120477006567845,1202,2400.8,3428.2,1602.6,1916.4,1323.6,587.9
ARL8A,6486,2558.3,3927.7,1.5354154975365,0.618629114958068,0.32,1.93,5.380e-02,9.998e-01,0.120561600240789,1203,2346.5,2047.1,3281.2,3195.1,3873.9,4714.2
LINC00158,5,0,5,34.0198212359205,5.08830365497365,2.64,1.93,5.383e-02,9.998e-01,0.120608366111545,1204,0,0,0,4.3,1.1,9.5
LRRC70,5,0,5,34.0198212359205,5.08830365497365,2.64,1.93,5.383e-02,9.998e-01,0.120608366111545,1204,0,0,0,4.3,1.1,9.5
ELP3,7852.2,4633.3,3218.9,0.694800039712302,-0.525330258379731,0.27,-1.93,5.387e-02,9.998e-01,0.120686788666571,1205,5153.9,4631.4,4114.7,3846.7,3099.3,2710.6
HIC2,1469.6,1003.8,465.8,0.464056505095523,-1.10762761139262,0.57,-1.93,5.389e-02,9.998e-01,0.120727891400944,1205,583.8,459.2,1968.5,347.8,491.8,557.7
HSD11B1,45.7,39.8,5.9,0.149524744719949,-2.74154384035903,1.42,-1.93,5.390e-02,9.998e-01,0.120729523631974,1206,59,36.6,23.9,0,17.6,0
VCAM1,2618.8,751.6,1867.2,2.48325609882981,1.31223305469204,0.68,1.93,5.391e-02,9.998e-01,0.120737653368091,1206,650.9,1075.9,528,811.1,657.9,4132.7
SGSM1,247.8,183.4,64.4,0.353144307152325,-1.50167025510164,0.78,-1.93,5.392e-02,9.998e-01,0.120756231511455,1206,84.5,67.5,398.1,72.8,93.5,27
NDC80,6814.9,4560.7,2254.2,0.494352413392072,-1.01638821949995,0.53,-1.93,5.395e-02,9.998e-01,0.120793569672205,1207,4687.5,6403.6,2591,3656.3,2081.6,1024.8
COLGALT2,440.1,90.7,349.4,3.84703872045707,1.94374835043782,1.01,1.93,5.395e-02,9.998e-01,0.120793569672205,1207,88.6,181.4,2.1,173.3,638.1,236.7
RAB11FIP1P1,31.7,6.3,25.4,3.99490356892436,1.9981606790447,1.04,1.93,5.395e-02,9.998e-01,0.120793569672205,1207,4,9.8,5.2,7.5,52.8,15.9
CNIH4,10436.7,3873.4,6563.3,1.69453145534938,0.760886417615863,0.39,1.93,5.398e-02,9.998e-01,0.120844544241022,1207,4383.6,4332.6,2903.9,9256.8,6445.1,3988.1
TTC23L,25.4,3.4,22,6.32320770873929,2.66065661085247,1.38,1.93,5.406e-02,9.998e-01,0.120997538880601,1209,6,4.2,0,10.7,50.6,4.8
CRTAC1,6.8,0,6.8,47.3654120504903,5.56576202999934,2.89,1.93,5.411e-02,9.998e-01,0.12110041728687,1210,0,0,0,13.9,6.6,0
VDAC2P5,3220.1,1224.5,1995.6,1.62976218172019,0.704661458760299,0.37,1.93,5.412e-02,9.998e-01,0.121106517105229,1210,1316.5,1450.8,906.3,2610.9,2007.9,1368
RPS27P14,7.1,0.6,6.5,11.8207964024169,3.56325533235813,1.85,1.93,5.412e-02,9.998e-01,0.121107221984049,1211,0,0.7,1,3.2,9.9,6.4
GDPGP1,138.5,47.1,91.4,1.93306990980971,0.950893813809872,0.49,1.93,5.413e-02,9.998e-01,0.121110064958157,1211,51,49.9,40.5,56.7,122.1,95.3
PPT1,22450.9,13467.7,8983.2,0.667048216531354,-0.58413704676606,0.3,-1.93,5.416e-02,9.998e-01,0.121172521640439,1211,14043.2,15693.2,10666.6,10431.7,9487.2,7030.8
LIX1L-AS1,57.6,16.8,40.8,2.43863682739792,1.28607492159275,0.67,1.93,5.418e-02,9.998e-01,0.121188608274504,1212,10.7,16.9,22.9,25.7,50.6,46.1
TCF12-DT,121.8,38.7,83.1,2.14361520096635,1.10004595174638,0.57,1.93,5.418e-02,9.998e-01,0.121188608274504,1212,55,35.2,26,119.8,77,52.4
SALL1,137.7,30.9,106.8,3.43692075393378,1.78111658746093,0.93,1.92,5.423e-02,9.998e-01,0.121249017244007,1213,45.6,25.3,21.8,8.6,106.7,205
TMBIM6,95800.8,55219.9,40580.9,0.734898472532733,-0.444383141932691,0.23,-1.92,5.423e-02,9.998e-01,0.121249017244007,1213,55707.7,59697.4,50254.5,44397.5,39366.1,37979.2
LINC01770,123.6,16.9,106.7,6.27267983618076,2.64908192793767,1.38,1.93,5.422e-02,9.998e-01,0.121249017244007,1213,12.7,38,0,3.2,102.3,214.5
RPS24P7,4.5,0,4.5,30.8828499263614,4.94873398819642,2.57,1.93,5.423e-02,9.998e-01,0.121249017244007,1213,0,0,0,4.3,4.4,4.8
SREK1IP1P2,4.5,0,4.5,30.8828499263614,4.94873398819642,2.57,1.93,5.423e-02,9.998e-01,0.121249017244007,1213,0,0,0,4.3,4.4,4.8
UBL3,2921.2,1133.7,1787.5,1.57698595014894,0.657169806773483,0.34,1.92,5.425e-02,9.998e-01,0.121270412722737,1213,1050.8,1388.9,961.4,2349.8,1687.7,1325.1
IFIT3,2176.2,708.6,1467.7,2.07136177447009,1.05057955001052,0.55,1.92,5.429e-02,9.998e-01,0.12136091516396,1214,925.3,817.9,382.5,1815.8,2020,567.2
SLC41A2,456,152,304,2.0009416572175,1.00067910224111,0.52,1.92,5.430e-02,9.998e-01,0.121361918932517,1215,134.9,208.9,112.2,500.8,247.6,163.7
MYOCOS,12.6,1.1,11.5,9.67960486973685,3.27494815657983,1.7,1.92,5.431e-02,9.998e-01,0.121364967211613,1215,1.3,2.1,0,4.3,28.6,1.6
CREB3L4,876.5,330.7,545.8,1.64937816554455,0.72192221442523,0.38,1.92,5.432e-02,9.998e-01,0.12137935722209,1215,397.2,225,370,495.4,444.5,697.5
NEK3,1044.9,691.3,353.6,0.511916509854148,-0.966019559351951,0.5,-1.92,5.438e-02,9.998e-01,0.121490325408442,1216,832,861.5,380.4,559.6,291.6,209.7
TOR1AIP2,10737.7,6297.1,4440.6,0.705248930119013,-0.50379552268079,0.26,-1.92,5.438e-02,9.998e-01,0.121490325408442,1216,5455.8,7082.2,6353.4,4431,5045.6,3845.1
GMIP,3245.4,2081.3,1164.1,0.559374492254719,-0.83811362715952,0.44,-1.92,5.441e-02,9.998e-01,0.121513011239425,1217,1352.7,1450,3441.2,1102.1,1065,1325.1
TSBP1-AS1,32.1,6.9,25.2,3.58441598442495,1.84173807708343,0.96,1.92,5.441e-02,9.998e-01,0.121513011239425,1217,6,12.7,2.1,13.9,36.3,25.4
CYP2U1-AS1,70.4,18.9,51.4,2.73324330705383,1.450613890983,0.75,1.92,5.440e-02,9.998e-01,0.121513011239425,1217,22.8,7,27,33.2,81.4,39.7
ATG4D,4304.3,2659,1645.2,0.618625924133918,-0.692860802624464,0.36,-1.92,5.445e-02,9.998e-01,0.12158837502694,1218,2285.4,2143.4,3548.3,1273.3,1495.2,2167.2
PELO,3995.9,2360.3,1635.6,0.69273350350871,-0.529627644560748,0.28,-1.92,5.445e-02,9.998e-01,0.121594406004129,1218,2246.5,2247.5,2586.9,1556.9,1362.1,1987.7
MCRIP2,5301.5,3323.3,1978.2,0.595306143928005,-0.748296310938397,0.39,-1.92,5.446e-02,9.998e-01,0.121596894752081,1218,3175.8,2002.8,4791.3,2134.7,1647,2152.9
RPL21P100,6.4,0.5,5.9,12.0321389537735,3.58882122814939,1.87,1.92,5.448e-02,9.998e-01,0.121635401972548,1219,0.7,0.7,0,8.6,4.4,4.8
RTCB,19208,11142,8065.9,0.723949265110781,-0.466039499150421,0.24,-1.92,5.450e-02,9.998e-01,0.121668008317088,1219,11621.6,10756.5,11048,9399.1,7405.6,7393.1
SYNPO2,12.7,0.9,11.7,12.1559911257467,3.60359562164814,1.87,1.92,5.452e-02,9.998e-01,0.121696878611655,1220,0,2.8,0,19.3,14.3,1.6
HOXC10,7.1,0,7.1,48.8745108924603,5.61101035973082,2.92,1.92,5.456e-02,9.998e-01,0.12176328548007,1220,0,0,0,0,5.5,15.9
ZNF770,4611.5,3032.4,1579.1,0.520884119702365,-0.940965640858604,0.49,-1.92,5.461e-02,9.998e-01,0.12187998126047,1222,2794.7,4172.9,2129.6,2289.9,1748.3,699.1
TRMU,3166.7,1847.1,1319.6,0.714577644712288,-0.484837314419551,0.25,-1.92,5.463e-02,9.998e-01,0.121907923200586,1222,1699,1672.3,2170.1,1295.8,1337.9,1325.1
SNHG32,788.2,290.5,497.7,1.71217993800373,0.775834326753272,0.4,1.92,5.470e-02,9.998e-01,0.122038015736533,1223,334.2,232.8,304.5,292.1,576.5,624.4
CDC14C,56.5,45,11.5,0.26113115230535,-1.93715351699332,1.01,-1.92,5.470e-02,9.998e-01,0.122038015736533,1224,34.9,58.4,41.6,22.5,12.1,0
IRF3,11875.6,7478.5,4397.1,0.587906359249515,-0.766341711602315,0.4,-1.92,5.472e-02,9.998e-01,0.122072296423613,1224,6441.5,5701.7,10292.4,2929.7,4177.6,6083.9
SLAIN1,41.2,41.2,0,0.00549925974864642,-7.50654685308516,3.91,-1.92,5.479e-02,9.998e-01,0.122178350992834,1225,61.7,61.9,0,0,0,0
PNMA6A,1612.2,973.7,638.5,0.656010556166475,-0.608209064790204,0.32,-1.92,5.478e-02,9.998e-01,0.122178350992834,1225,934,728.5,1258.6,653.8,604,657.8
PRKCA-AS1,9.1,0.5,8.6,17.4862893500772,4.12815227184276,2.15,1.92,5.478e-02,9.998e-01,0.122178350992834,1225,0.7,0.7,0,0,9.9,15.9
LGALS2,23.3,18.8,4.5,0.247332986616169,-2.01547343116467,1.05,-1.92,5.479e-02,9.998e-01,0.122186202293703,1226,18.1,9.1,29.1,5.4,6.6,1.6
ZZZ3,5637.9,3782.4,1855.5,0.490641518101406,-1.02725877492448,0.53,-1.92,5.483e-02,9.998e-01,0.122244695293093,1226,3822.6,5610.3,1914.4,2679.3,2053,834.2
FBXO4,1479.7,530.1,949.6,1.79168942274412,0.841320577630208,0.44,1.92,5.483e-02,9.998e-01,0.122248848000487,1227,565.6,650.5,374.2,1208.1,1138.7,502.1
LINC02693,1965.3,1194.9,770.4,0.644919199940377,-0.632809674114829,0.33,-1.92,5.485e-02,9.998e-01,0.122264389480377,1227,954.1,1091.4,1539.2,887.1,613.9,810.3
UTP25,5171.5,3160.7,2010.8,0.63631757679588,-0.652181121645969,0.34,-1.92,5.491e-02,9.998e-01,0.122375897721847,1228,3099.3,3791.8,2591,2432.2,2222.5,1377.6
CLSTN1,19163.5,11919.6,7243.8,0.607717019322437,-0.718528399271859,0.37,-1.92,5.491e-02,9.998e-01,0.122375897721847,1228,9177.1,9968.2,16613.6,5092.2,7865.5,8773.8
GRK1,12.5,1.5,11,7.64973495639821,2.93540976300607,1.53,1.92,5.491e-02,9.998e-01,0.122375897721847,1228,0,1.4,3.1,19.3,8.8,4.8
EIF4E2,9742,4111.2,5630.8,1.36947757177385,0.453625638912515,0.24,1.92,5.492e-02,9.998e-01,0.122383972430086,1228,4600.3,4049.9,3683.4,5771.7,5262.4,5858.2
TEX14BP,14.5,13.4,1.1,0.0844544466926454,-3.56568280401819,1.86,-1.92,5.497e-02,9.998e-01,0.122481753697531,1230,2,7,31.2,3.2,0,0
EPN2,2557.2,1619.1,938.1,0.579060078201269,-0.788215057507763,0.41,-1.92,5.498e-02,9.998e-01,0.122490904321432,1230,1348.7,1361.4,2147.2,633.5,788.9,1391.9
HSPE1P2,572.4,207.7,364.7,1.75634262107101,0.812574308144335,0.42,1.92,5.499e-02,9.998e-01,0.122490904321432,1230,222.8,249.6,150.7,501.8,362,230.4
LSM2,4644.8,1848.6,2796.1,1.51197659904185,0.596435811048717,0.31,1.92,5.500e-02,9.998e-01,0.122510047300966,1230,2116.3,1803.1,1626.5,2206.4,2565.7,3616.3
RAB40C,3940.1,2511.9,1428.2,0.568600485060763,-0.814512765139495,0.42,-1.92,5.501e-02,9.998e-01,0.122519852135884,1230,2060.6,1685.6,3789.4,956.6,1661.3,1666.7
FAM8A1,3004,1797.4,1206.6,0.671226947891774,-0.575127457760698,0.3,-1.92,5.503e-02,9.998e-01,0.122554793386172,1231,1761.4,2255.9,1375,1228.4,1280.7,1110.6
LINC02886,4.7,0,4.7,32.5248119024642,5.02346880845866,2.62,1.92,5.506e-02,9.998e-01,0.122612244588861,1232,0,0,0,2.1,8.8,3.2
SNORA80A,8.4,0.8,7.6,9.73690588283412,3.28346339688027,1.71,1.92,5.509e-02,9.998e-01,0.122654322960555,1232,1.3,0,1,8.6,11,3.2
ZNF146,5678.2,3884.6,1793.5,0.461792180055951,-1.11468435202657,0.58,-1.92,5.510e-02,9.998e-01,0.122664848976363,1232,3844.1,5857.9,1951.9,2481.4,2276.4,622.8
ZNF221,154.9,104.7,50.2,0.483086064209914,-1.04964785955731,0.55,-1.92,5.513e-02,9.998e-01,0.122728955059523,1233,104,92.8,117.4,54.6,73.7,22.2
RNF14P4,20.6,4.4,16.2,3.71632638974901,1.89387721329051,0.99,1.92,5.514e-02,9.998e-01,0.122745650563964,1233,2.7,6.3,4.2,17.1,22,9.5
RARA-AS1,315,199.8,115.2,0.574299165129145,-0.80012563043822,0.42,-1.92,5.515e-02,9.998e-01,0.122753391724016,1234,206,177.2,216.2,115.6,72.6,157.3
EIF2S2P3,71.9,19.9,52,2.61756905145215,1.38822759594255,0.72,1.92,5.518e-02,9.998e-01,0.122789284856714,1234,26.2,16.9,16.6,95.2,27.5,33.4
QPCTL,2332.1,1451.5,880.6,0.606267196747798,-0.721974330125552,0.38,-1.92,5.521e-02,9.998e-01,0.122860929404455,1235,1391.6,1241.9,1721.1,561.8,854.9,1225
GPR155-DT,45.4,11.3,34.1,2.97443170028535,1.57261405110994,0.82,1.92,5.529e-02,9.998e-01,0.12301592156863,1237,19.5,11.3,3.1,35.3,31.9,35
STAG2,10544.7,7123.7,3421,0.480289802898911,-1.05802291605041,0.55,-1.92,5.530e-02,9.998e-01,0.123024537622557,1237,6322.8,10714.3,4334,5172.5,3821.1,1269.5
SLIT1,12.8,11.4,1.4,0.117806022422312,-3.08551480107794,1.61,-1.92,5.531e-02,9.998e-01,0.123039487101705,1237,2.7,14.8,16.6,0,1.1,3.2
CERS2,21053.2,12169.5,8883.8,0.730015581016799,-0.454000838544322,0.24,-1.92,5.532e-02,9.998e-01,0.123060735661053,1237,11683.3,11006.2,13818.9,9019.2,8327.6,9304.5
COPS7B,9201.3,5432.9,3768.4,0.693506390402668,-0.528018918380646,0.28,-1.92,5.534e-02,9.998e-01,0.123090861276354,1238,5568.6,4866.3,5863.9,3471.2,3203.9,4630
HNRNPA1P28,21.3,3.8,17.5,4.5240826618358,2.17762528978995,1.14,1.92,5.536e-02,9.998e-01,0.123105661167852,1238,2.7,7.7,1,18.2,26.4,7.9
RNASEH2C,6690.6,2498,4192.6,1.67825445171363,0.746961469290849,0.39,1.92,5.538e-02,9.998e-01,0.123153479327375,1239,2455.8,1881.8,3156.4,3274.3,3171.9,6131.5
SRP19,1215.5,426.8,788.7,1.84740714253232,0.885501851042679,0.46,1.92,5.544e-02,9.998e-01,0.123260605457989,1240,485.1,573.8,221.4,1033.6,809.8,522.7
MRPS31,1767.1,1058.7,708.5,0.66924090135762,-0.579402475000348,0.3,-1.92,5.545e-02,9.998e-01,0.123272199786227,1240,1051.4,1265.1,859.5,843.2,640.3,641.9
PRXL2AP2,6.8,0,6.8,47.295354310861,5.56362657355042,2.9,1.92,5.545e-02,9.998e-01,0.123272199786227,1240,0,0,0,15,5.5,0
TNRC18P2,4.5,0,4.5,30.8173020759332,4.94566866043755,2.58,1.92,5.548e-02,9.998e-01,0.123310044613983,1241,0,0,0,5.4,3.3,4.8
PPCS,9610.4,3984.9,5625.5,1.41183148957322,0.497567904710552,0.26,1.92,5.548e-02,9.998e-01,0.123314488682812,1241,3741.4,4091.4,4122,6781.8,5172.2,4922.4
RET,158,4.7,153.3,32.5638945255208,5.02520134598596,2.62,1.91,5.551e-02,9.998e-01,0.123356325963603,1242,0,14.1,0,2.1,332.3,125.5
RNLS,107.4,19.9,87.6,4.38827897348348,2.13365524426157,1.11,1.91,5.551e-02,9.998e-01,0.123359618061198,1242,19.5,40.1,0,47.1,158.4,57.2
MRPS18CP7,52.8,16.2,36.6,2.26249252177235,1.17791302365672,0.62,1.91,5.556e-02,9.998e-01,0.123447032105821,1243,17.4,17.6,13.5,44.9,36.3,28.6
FGF7,5,0,5,34.5323188238004,5.10987530840897,2.67,1.91,5.559e-02,9.998e-01,0.123491726641956,1243,0,0,0,10.7,1.1,3.2
CNOT6LP1,84.8,27,57.8,2.15521780478737,1.10783367442267,0.58,1.91,5.559e-02,9.998e-01,0.123491726641956,1243,33.5,18.3,29.1,74.9,60.5,38.1
FDPSP1,180.3,64.4,115.8,1.78887850813732,0.839055409938961,0.44,1.91,5.565e-02,9.998e-01,0.123582555385048,1244,85.9,53.4,54,102.7,103.4,141.4
RPL35AP35,26.3,4.6,21.8,4.63234653130205,2.21174318085113,1.16,1.91,5.565e-02,9.998e-01,0.123582555385048,1245,6.7,7,0,23.5,13.2,28.6
PPP1R14BP4,86.5,26,60.4,2.33381489671831,1.2226901402327,0.64,1.91,5.564e-02,9.998e-01,0.123582555385048,1245,15.4,21.1,41.6,44.9,50.6,85.8
PIEZO1,35239,22492.6,12746.3,0.566678654815586,-0.819397233663968,0.43,-1.91,5.570e-02,9.998e-01,0.123697287618307,1246,17158.6,16704.4,33614.9,8554.8,11864.8,17819.4
LANCL1-AS1,9,0.7,8.3,13.5061078897468,3.7555400821231,1.96,1.91,5.577e-02,9.998e-01,0.123826488175882,1247,0,0,2.1,8.6,13.2,3.2
THAP10,991.4,618.2,373.3,0.604035085450993,-0.727295743787237,0.38,-1.91,5.580e-02,9.998e-01,0.123893291613047,1248,542.8,754.6,557.1,522.2,260.8,336.8
SF3A3P2,445.2,271.5,173.8,0.639970575372856,-0.64392252061777,0.34,-1.91,5.585e-02,9.998e-01,0.123994008872924,1249,292.6,310.8,211,196.9,163.9,160.5
RPL38P3,14,1.8,12.2,6.91695271055534,2.79013659311734,1.46,1.91,5.590e-02,9.998e-01,0.124070716142365,1250,1.3,0,4.2,6.4,11,19.1
AHCYP5,19,2,17,8.17931473788901,3.03197997939422,1.59,1.91,5.591e-02,9.998e-01,0.124101486247989,1251,6,0,0,21.4,12.1,17.5
GGCT,1670.5,648.7,1021.8,1.57563733831955,0.655935510418352,0.34,1.91,5.592e-02,9.998e-01,0.12410440798323,1251,660.9,760.2,524.9,1218.8,1136.5,710.2
NHSL1-AS1,111.4,31.1,80.3,2.55768785411412,1.35484020526717,0.71,1.91,5.600e-02,9.998e-01,0.124265482045585,1253,36.9,29.5,27,38.5,41.8,160.5
SLC35E1,7196.3,4544.6,2651.8,0.583383988088471,-0.777482305192869,0.41,-1.91,5.605e-02,9.998e-01,0.124374834567024,1254,3948.8,3919.8,5765.1,1599.7,2446.9,3908.7
LINC00313,4.8,0,4.8,33.1701717074864,5.05181457523452,2.64,1.91,5.609e-02,9.998e-01,0.124435140265845,1255,0,0,0,1.1,5.5,7.9
H3C14,24.8,4.1,20.7,5.15316273989799,2.36545815436489,1.24,1.91,5.611e-02,9.998e-01,0.124483278982771,1255,4,0,8.3,22.5,14.3,25.4
HNRNPA1P40,13.3,1.8,11.5,6.33844506391222,2.66412896438341,1.39,1.91,5.613e-02,9.998e-01,0.124509411604223,1256,3.4,0,2.1,10.7,11,12.7
ATP5MC2P2,17.5,3.1,14.4,4.67878031360934,2.22613249031246,1.17,1.91,5.626e-02,9.998e-01,0.12477392917714,1258,5.4,0.7,3.1,8.6,18.7,15.9
XRCC5,48741,30678.2,18062.8,0.588798282671946,-0.764154631346174,0.4,-1.91,5.627e-02,9.998e-01,0.124794947206535,1259,32427,37891.9,21715.7,23212,20353.1,10623.3
PABPC3,31.7,5.3,26.4,5.08192513108266,2.34537512119776,1.23,1.91,5.636e-02,9.998e-01,0.124975569632501,1261,0,3.5,12.5,25.7,26.4,27
BZW1-AS1,44.6,33,11.6,0.348851483070469,-1.51931512791035,0.8,-1.91,5.641e-02,9.998e-01,0.125077322152685,1262,26.2,19.7,53,9.6,7.7,17.5
KTI12,1106.4,699.9,406.6,0.581618524948962,-0.781854874071435,0.41,-1.91,5.647e-02,9.998e-01,0.125203894769828,1263,740.8,758.1,600.7,400.2,587.5,232
CDV3P1,11.5,1.4,10.2,7.0894678605241,2.82567734202124,1.48,1.91,5.650e-02,9.998e-01,0.125250475237241,1264,1.3,2.8,0,17.1,5.5,7.9
NUDT5,6897.3,4008.6,2888.7,0.720515850329631,-0.472897926887852,0.25,-1.91,5.651e-02,9.998e-01,0.125264580956029,1264,4541.3,4092.1,3392.4,2873,2786.9,3006.2
EOLA1,1171.6,460.9,710.7,1.54311518148835,0.625845751837473,0.33,1.91,5.652e-02,9.998e-01,0.125268158476364,1264,410,385.4,587.2,781.1,567.7,783.3
TXNDC12,1150.9,475.8,675.1,1.4177907886127,0.503644661985764,0.26,1.91,5.658e-02,9.998e-01,0.125387223200155,1266,528.1,447.3,452.1,605.6,677.7,742
PHF24,61.1,7.9,53.2,6.62258780789217,2.7273950671975,1.43,1.91,5.661e-02,9.998e-01,0.125437363747515,1266,2,21.8,0,10.7,15.4,133.5
