SYMBOL,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,s_MiaFRFP_1,s_MiaFRFP_2,s_MiaFRFP_3,s_Part1Lag_1,s_Part1Lag_2,s_Part1Lag_3
LMO3,455.3,1,454.3,376.378528510661,8.55604051790826,1.94e-07,3.37e-03,2.87482693060963e-05,0,3,0,0,659,457,247
ACTG1P9,3181.3,47,3134.3,68.1133119237827,6.08986487799412,1.94e-07,3.37e-03,2.87482693060963e-05,0,38,40,63,4054,1866,3483
HSPD1P11,97.3,1.3,96,78.4351876102446,6.29342911660026,1.96e-07,3.40e-03,2.87482693060963e-05,0,1,2,1,106,73,109
TCF4,698.3,3,695.3,241.174353865043,7.91393269104718,1.98e-07,3.44e-03,2.87793405730779e-05,0,1,3,5,1020,338,728
HSPA8P14,769.3,3.7,765.7,194.717834455761,7.60524121817058,2.01e-07,3.49e-03,2.87793405730779e-05,0,3,8,0,782,606,909
RPSAP53,389.7,1,388.7,406.937264842219,8.66866258948201,2.02e-07,3.50e-03,2.87793405730779e-05,0,0,0,3,379,313,474
FGL2,982.7,0.3,982.3,1466.34059185112,10.5180045266768,2.03e-07,3.52e-03,2.87793405730779e-05,0,1,0,0,1551,615,781
EEF1A1P10,1812,14.3,1797.7,128.148893698863,7.00167721376471,2.04e-07,3.55e-03,2.87793405730779e-05,0,12,9,22,2436,1133,1824
PPIAP78,165.3,1.3,164,133.51521271237,7.06086032160748,2.06e-07,3.58e-03,2.87793405730779e-05,0,1,1,2,215,95,182
ELOVL2,4349.7,4321,28.7,0.0061252461723461,-7.35101645777364,2.07e-07,3.60e-03,2.87793405730779e-05,0,4153,5689,3121,13,17,56
NFKBIZ,4381.7,291,4090.7,14.0839833657179,3.81598352326676,2.13e-07,3.70e-03,2.93767932228194e-05,0,246,283,344,4202,4102,3968
KRT16,4065.7,4.7,4061,805.470567639774,9.65368806275881,2.25e-07,3.90e-03,3.03830221982063e-05,0,6,4,4,1229,5911,5043
GDF3,983.3,0.7,982.7,1459.84728451732,10.5116017404844,2.25e-07,3.91e-03,3.03830221982063e-05,0,0,0,2,1414,998,536
RPL32P10,387,1,386,317.611481813972,8.31111925734584,2.26e-07,3.92e-03,3.03830221982063e-05,0,3,0,0,527,224,407
POTEKP,7746.7,158,7588.7,48.1843135802904,5.5904916479143,2.29e-07,3.98e-03,3.06264668461998e-05,0,155,124,195,9094,4210,9462
FTH1P16,13776.3,672.7,13103.7,19.4504769334534,4.28173362599045,2.33e-07,4.05e-03,3.09165293030666e-05,0,739,757,522,15047,9210,15054
CHRNA9,1276.7,1.3,1275.3,726.884119805455,9.50558157715586,2.51e-07,4.35e-03,3.28210871685588e-05,0,4,0,0,499,2379,948
