SYMBOL,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,s_MiaFRFP_1,s_MiaFRFP_2,s_MiaFRFP_3,s_Part1Lag_1,s_Part1Lag_2,s_Part1Lag_3
LINC01530,62.3,22.7,39.7,1.71890394913898,0.78148893052136,1.95e-01,1.00e+00,0.298994362024098,3406,19,15,34,39,22,58
PLGRKT,2187,877.7,1309.3,1.49330715649049,0.578510942142737,1.95e-01,1.00e+00,0.298994362024098,3406,1021,1032,580,2030,1144,754
AJUBA-DT,61.7,24,37.7,1.62390429595386,0.699466610465649,1.95e-01,1.00e+00,0.298994362024098,3406,23,29,20,53,41,19
CNN2P9,96,37.3,58.7,1.53977417601359,0.622718780118374,1.95e-01,1.00e+00,0.299321021622794,3410,35,44,33,40,65,71
ERO1B,4733,1716.3,3016.7,1.75988083055099,0.815477740797864,1.95e-01,1.00e+00,0.299321021622794,3410,1684,2359,1106,5565,2688,797
RPF2,5350.3,3080,2270.3,0.737522140046752,-0.439241735889972,1.95e-01,1.00e+00,0.299444655778113,3412,3158,3845,2237,2241,2915,1655
SNRNP40P1,153.3,93.3,60,0.653419939087148,-0.613917615649729,1.95e-01,1.00e+00,0.299480487790566,3413,103,112,65,69,69,42
RRAS,10999.3,6544,4455.3,0.680054015562834,-0.556278753098349,1.95e-01,1.00e+00,0.299529566588794,3414,7203,5238,7191,2505,3312,7549
ZNF91,1926,744.3,1181.7,1.58988203995813,0.668919729861536,1.95e-01,1.00e+00,0.299833056533483,3417,726,1107,400,1308,1677,560
TMX1,12234,7734.7,4499.3,0.58222100866807,-0.780361196762303,1.95e-01,1.00e+00,0.299854716605054,3418,6538,12857,3809,8153,3438,1907
GDF5-AS1,45.3,12.7,32.7,2.4101471102894,1.26912120820115,1.95e-01,1.00e+00,0.299854716605054,3418,5,13,20,2,25,71
CDC26,721,295,426,1.44066932770945,0.526739236263174,1.96e-01,1.00e+00,0.299982992277241,3420,385,306,194,386,510,382
PSMG3-AS1,2745.3,1573.3,1172,0.744453289041701,-0.425746765599183,1.96e-01,1.00e+00,0.300068455166665,3421,1524,1226,1970,934,1198,1384
HELLS,4510.7,2587.7,1923,0.74270521219825,-0.429138391915466,1.96e-01,1.00e+00,0.300073297656497,3422,2160,3677,1926,1905,1812,2052
LRRC25,52.3,14.7,37.7,2.42502885797197,1.27800191554938,1.96e-01,1.00e+00,0.300073297656497,3422,35,2,7,8,73,32
UBE2V2P3,18.7,5.3,13.3,2.52829699254951,1.33816594314783,1.96e-01,1.00e+00,0.300073297656497,3422,2,14,0,21,17,2
CD58,1122.7,410.7,712,1.73781417836942,0.797273825375961,1.96e-01,1.00e+00,0.300073297656497,3423,403,629,200,1213,655,268
YES1P1,44.7,29.7,15,0.516603608670032,-0.952870373630103,1.96e-01,1.00e+00,0.300073297656497,3423,33,46,10,27,13,5
BCLAF1P2,528.3,325,203.3,0.633954859876445,-0.657547976527203,1.96e-01,1.00e+00,0.300073297656497,3423,309,427,239,293,227,90
RALGAPA1P1,329.7,128.7,201,1.58150139352323,0.661294827071351,1.96e-01,1.00e+00,0.300073297656497,3424,136,160,90,255,255,93
RAB23,1911.3,1098.7,812.7,0.739909663432273,-0.434578953975389,1.96e-01,1.00e+00,0.300096017829985,3424,875,1309,1112,981,655,802
NUP54,4387,2731.3,1655.7,0.607337495055027,-0.719429655618496,1.96e-01,1.00e+00,0.300124758355924,3425,3083,3856,1255,2776,1426,765
PKN2-AS1,20.7,14,6.7,0.546557616360853,-0.871554506663284,1.96e-01,1.00e+00,0.300263097266993,3427,12,10,20,4,11,5
GPC2,135.3,49.7,85.7,1.66534873613227,0.735824319762872,1.96e-01,1.00e+00,0.301099926263797,3436,66,37,46,38,92,127
PRSS36,128.3,81,47.3,0.593254102116813,-0.753277923769661,1.96e-01,1.00e+00,0.301117031577084,3437,82,37,124,38,58,46
LINC01521,1794,1088.3,705.7,0.645414745940272,-0.631701555098026,1.97e-01,1.00e+00,0.301253597229379,3439,899,755,1611,374,645,1098
MAP2K3,27676.3,16204.3,11472,0.707739018476127,-0.498710635938883,1.97e-01,1.00e+00,0.301275516855439,3439,14715,12811,21087,7641,8871,17904
TMEM185AP1,26,9.7,16.3,1.74779341606234,0.805534672690184,1.97e-01,1.00e+00,0.301482031041529,3442,9,5,15,21,14,14
HMGN2P5,2713,1157.3,1555.7,1.34201472156981,0.424400497632933,1.97e-01,1.00e+00,0.301482031041529,3442,1495,1098,879,1372,1465,1830
YTHDF2P1,162,99.7,62.3,0.629148423476994,-0.668527688984133,1.97e-01,1.00e+00,0.301498037267881,3443,105,135,59,84,62,41
SYT9-AS1,116,80,36,0.415535666345608,-1.26695578286985,1.97e-01,1.00e+00,0.301602237137158,3444,34,28,178,16,14,78
TMED2-DT,318.3,125,193.3,1.54996309983235,0.632233869484957,1.97e-01,1.00e+00,0.301652845068597,3445,118,83,174,120,222,238
ZNF134,2066,1220.3,845.7,0.695326004175454,-0.524238549664224,1.97e-01,1.00e+00,0.30175047396048,3447,1017,1422,1222,772,1270,495
LIFR-AS1,83,32,51,1.54706568947039,0.629534455908564,1.97e-01,1.00e+00,0.301781894976423,3447,40,25,31,40,50,63
CHRAC1,9132,5192.3,3939.7,0.758728837155626,-0.398343723329817,1.97e-01,1.00e+00,0.301781894976423,3448,4750,6126,4701,4955,2733,4131
SNAPC1,1621.7,986.7,635,0.645483650833867,-0.631547540268313,1.97e-01,1.00e+00,0.301919335857543,3449,889,1522,549,952,535,418
AKT1S1,14856.3,8793.7,6062.7,0.689160522599451,-0.537088033314665,1.97e-01,1.00e+00,0.302011996901432,3451,7508,6705,12168,3224,6074,8890
ETFBKMT,471.7,185.3,286.3,1.53597833830907,0.619157870073104,1.97e-01,1.00e+00,0.302020935985925,3451,248,222,86,286,321,252
ARMC5,2596.7,1496.7,1100,0.734070667312519,-0.446009140165123,1.97e-01,1.00e+00,0.302029865397604,3452,1434,1289,1767,732,1227,1341
TTLL11,845.3,536,309.3,0.567607606597414,-0.817034171579747,1.97e-01,1.00e+00,0.302105312615687,3453,386,428,794,98,259,571
ALAD,3526.3,2033.3,1493,0.73345053928808,-0.447228414782488,1.97e-01,1.00e+00,0.302105312615687,3453,2089,1715,2296,1641,943,1895
XRN2,15096,8773.3,6322.7,0.720929941108977,-0.472069027551057,1.97e-01,1.00e+00,0.302198725126567,3454,8709,11583,6028,8259,6713,3996
RPL6,17442.3,7706.7,9735.7,1.26308688952494,0.336953887561694,1.98e-01,1.00e+00,0.302300782078362,3456,8857,7828,6435,8266,10852,10089
LIN7C,8025,5081.3,2943.7,0.580081421812804,-0.785672679817526,1.98e-01,1.00e+00,0.302300782078362,3456,4342,8278,2624,5369,2334,1128
UBE2K,7283,3103,4180,1.3472234434154,0.429989148478995,1.98e-01,1.00e+00,0.302322192726681,3457,3042,4056,2211,5355,3887,3298
RAB39A,311,183.7,127.3,0.688205598048499,-0.53908846749721,1.98e-01,1.00e+00,0.302322192726681,3457,193,221,137,123,116,143
CHD1-DT,264.7,102,162.7,1.59090102577547,0.669844084528495,1.98e-01,1.00e+00,0.302322192726681,3457,83,154,69,105,233,150
TTC12,1083.3,463,620.3,1.34202531077262,0.424411881211568,1.98e-01,1.00e+00,0.302330128468015,3458,406,521,462,646,616,599
AGO4,1764.3,1012.7,751.7,0.743174426252235,-0.428227237614964,1.98e-01,1.00e+00,0.302330128468015,3458,846,1143,1049,663,942,650
BTF3P5,378,134.3,243.7,1.81880941811661,0.862994379744329,1.98e-01,1.00e+00,0.302330128468015,3458,129,232,42,288,339,104
MIR3648-1,63.7,18,45.7,2.95558800808418,1.56344518013413,1.98e-01,1.00e+00,0.302330128468015,3459,5,6,43,3,122,12
TVP23C,422.3,170,252.3,1.47560688151117,0.561308422187451,1.98e-01,1.00e+00,0.302465980257938,3461,184,193,133,336,169,252
TIAM1,2014.7,1248.3,766.3,0.610981137085445,-0.710800254701563,1.98e-01,1.00e+00,0.302545183175174,3462,1120,842,1783,274,812,1213
TXNDC16,780,474.3,305.7,0.649048617099236,-0.623601547293158,1.98e-01,1.00e+00,0.302545183175174,3462,429,682,312,336,415,166
SLC12A2-DT,3078.7,1323.7,1755,1.32395014776898,0.404848799697603,1.98e-01,1.00e+00,0.302720767291884,3464,1470,1368,1133,1693,1362,2210
SLC6A6,7417,3174,4243,1.33714197766246,0.419152658845413,1.98e-01,1.00e+00,0.302842021450001,3466,2584,2653,4285,5016,3203,4510
LIPE,139.3,55,84.3,1.55666766526327,0.638460974697663,1.98e-01,1.00e+00,0.302842021450001,3466,45,38,82,101,69,83
CENPBD1P,1086.7,644.3,442.3,0.682611596951403,-0.550863170163217,1.98e-01,1.00e+00,0.302855105857889,3467,560,506,867,312,370,645
MRC2,17771.3,7466,10305.3,1.38017557066016,0.464851802372546,1.98e-01,1.00e+00,0.302878069872128,3467,6108,5859,10431,6941,10052,13923
CALU,30750,17740.7,13009.3,0.733387649411459,-0.447352124287568,1.98e-01,1.00e+00,0.302965464559647,3469,18222,23287,11713,16916,12806,9306
NDUFB5,5307.7,2072.3,3235.3,1.5621956686457,0.643575165711215,1.98e-01,1.00e+00,0.30301601250768,3470,2114,2963,1140,4950,3240,1516
SUMO2P17,32.3,11.3,21,1.77077841968346,0.824383696661489,1.98e-01,1.00e+00,0.30301601250768,3470,12,17,5,31,14,18
ARPC1AP4,578.3,339,239.3,0.700918823184881,-0.512680726500367,1.98e-01,1.00e+00,0.30301601250768,3470,360,342,315,263,162,293
ST13P4,355.7,146.3,209.3,1.42530006491913,0.511265678293984,1.99e-01,1.00e+00,0.303193747089118,3472,156,169,114,216,197,215
TMEM254-AS1,64,22.3,41.7,1.79364809536899,0.842896868592753,1.99e-01,1.00e+00,0.303284124054193,3474,30,33,4,54,39,32
PPP1R15B,7805.7,3441,4364.7,1.26830415106457,0.342900758580248,1.99e-01,1.00e+00,0.303356648385242,3475,3109,4155,3059,4027,4703,4364
PPIL2,6400.7,3637.7,2763,0.759245741241757,-0.397361183831314,1.99e-01,1.00e+00,0.303441332267875,3476,3505,2850,4558,2158,2812,3319
ATXN7,2803,1596,1207,0.756943476947425,-0.401742520663389,1.99e-01,1.00e+00,0.303441332267875,3477,1250,1897,1641,1220,1380,1021
DUSP8P5,425.7,166.7,259,1.54342376143234,0.626134221715629,1.99e-01,1.00e+00,0.303441332267875,3477,111,177,212,194,188,395
CHCHD3,15299,8657.3,6641.7,0.76721227801477,-0.382302286302328,1.99e-01,1.00e+00,0.303479838487306,3478,9635,9243,7094,8713,5098,6114
FTLP3,41732,24456.7,17275.3,0.706174388669312,-0.501903596092029,1.99e-01,1.00e+00,0.303723964408878,3481,27002,20899,25469,9760,14436,27630
RNMT,3146.3,1851.7,1294.7,0.700561386972075,-0.513416621961598,1.99e-01,1.00e+00,0.303860125981796,3483,1781,2415,1359,1525,1628,731
SNU13,18614.7,10459.7,8155,0.779443642059798,-0.359483382753591,1.99e-01,1.00e+00,0.303860125981796,3483,11847,10087,9445,7040,6848,10577
MTA3,6145,2717.7,3427.3,1.26102340318314,0.334595050720018,1.99e-01,1.00e+00,0.303899684219075,3484,2763,3034,2356,3405,3629,3248
RPS26P47,148.3,41.7,106.7,2.74679099175696,1.45774713734219,1.99e-01,1.00e+00,0.30390452892892,3484,37,5,83,12,273,35
WDSUB1,1198.7,722.7,476,0.662251414184702,-0.594549075529794,1.99e-01,1.00e+00,0.30390452892892,3484,804,834,530,771,386,271
GSTM3,5661.3,2418,3243.3,1.3407982604325,0.42309218238153,1.99e-01,1.00e+00,0.304217087179975,3488,3054,2664,1536,3655,3161,2914
P2RY11,213.7,129,84.7,0.647866935011189,-0.62623056559328,1.99e-01,1.00e+00,0.304235363033582,3489,129,103,155,47,103,104
APP,32080.7,17934.3,14146.3,0.788720430359667,-0.342414081350824,2.00e-01,1.00e+00,0.304593668811654,3493,18055,18657,17091,14700,10639,17100
AMMECR1L,4032.3,2262.3,1770,0.782653566636024,-0.353554239855063,2.00e-01,1.00e+00,0.304593668811654,3493,2529,2275,1983,1892,1846,1572
INO80D,1778.3,766,1012.3,1.32281365626121,0.403609844592848,2.00e-01,1.00e+00,0.304644206964594,3494,726,874,698,1089,1104,844
ANXA6,19044.7,10633.7,8411,0.790836513215823,-0.338548612516109,2.00e-01,1.00e+00,0.304658285547011,3495,10493,9880,11528,7213,7510,10510
RUFY3,1999,857,1142,1.3354518384611,0.417327947769194,2.00e-01,1.00e+00,0.304685781691519,3495,749,896,926,1359,1207,860
MED20,2505.3,1467.3,1038,0.7080902477941,-0.497994847930087,2.00e-01,1.00e+00,0.304796718530516,3497,1458,2009,935,1239,1138,737
PTBP2,1371.7,513.7,858,1.67291900505361,0.742367598492744,2.00e-01,1.00e+00,0.304964664999437,3499,452,816,273,1363,858,353
CTNNA1-AS1,41.3,13.3,28,2.07390753332042,1.0523515719747,2.00e-01,1.00e+00,0.304994625791047,3500,19,7,14,4,50,30
LCMT1-AS1,51.3,31.7,19.7,0.555550946370724,-0.84800887597118,2.00e-01,1.00e+00,0.305174650754947,3502,32,40,23,9,11,39
CD9,58296,33721.3,24574.7,0.728636450341078,-0.456728926582739,2.00e-01,1.00e+00,0.305174650754947,3502,36965,37209,26990,21119,15755,36850
PLIN5,32,11,21,2.12901307743206,1.09018481155086,2.00e-01,1.00e+00,0.305174650754947,3503,4,4,25,11,26,26
ACER3,3785.7,2241.3,1544.3,0.690434504690353,-0.534423529411979,2.00e-01,1.00e+00,0.30529804379516,3505,2007,2928,1789,2203,1626,804
CASP10,2314,1321,993,0.750712254604177,-0.413668061187965,2.00e-01,1.00e+00,0.305298774301026,3505,1479,1428,1056,1050,780,1149
TRPC1,903,544.3,358.7,0.658094434384861,-0.60363347408298,2.00e-01,1.00e+00,0.305407316262794,3506,559,803,271,289,442,345
PIGW,3064.3,1804.7,1259.7,0.698586159015903,-0.517490035774583,2.00e-01,1.00e+00,0.305407316262794,3507,1843,2304,1267,1905,927,947
SYNGAP1,337.3,125,212.3,1.7096191457268,0.773674969691111,2.01e-01,1.00e+00,0.305442335616391,3507,76,90,209,93,278,266
NR2C2AP,2982.7,1252,1730.7,1.38034759742598,0.465031610435846,2.01e-01,1.00e+00,0.305450412283224,3508,1435,990,1331,1150,1640,2402
ZCCHC2,1191,496,695,1.39826074761864,0.48363341952537,2.01e-01,1.00e+00,0.305450412283224,3508,464,439,585,487,669,929
NEIL1,1033.7,397.3,636.3,1.59837037129689,0.676601745513229,2.01e-01,1.00e+00,0.305482685302817,3509,375,257,560,276,681,952
POLR1D,6129.3,2718.7,3410.7,1.25407627162061,0.326625094027181,2.01e-01,1.00e+00,0.305561572547596,3510,2774,2926,2456,3331,3270,3631
NIPA2,8021.3,4519.3,3502,0.775016307530983,-0.36770142766622,2.01e-01,1.00e+00,0.305561572547596,3510,4408,5428,3722,4283,3153,3070
TPST1,3760.7,2129.7,1631,0.764997940995821,-0.386472230113596,2.01e-01,1.00e+00,0.305591200466238,3511,2037,2401,1951,1667,1245,1981
YPEL1,1220.3,509,711.3,1.39383384891754,0.479058595905688,2.01e-01,1.00e+00,0.305608049155134,3511,477,511,539,455,792,887
CDHR2,64.3,22,42.3,1.86097189915083,0.896056270731923,2.01e-01,1.00e+00,0.305608049155134,3512,40,7,19,23,48,56
MGST1,16847.7,6943,9904.7,1.42663192843291,0.512613166965263,2.01e-01,1.00e+00,0.305608049155134,3512,7679,9008,4142,14196,9145,6373
TULP4,4840.7,2793,2047.7,0.733515482723685,-0.447100676891983,2.01e-01,1.00e+00,0.305634623986994,3513,1745,2950,3684,1682,2371,2090
TSPAN3,24716.3,10940.7,13775.7,1.25903754220286,0.332321302232767,2.01e-01,1.00e+00,0.305774200637475,3515,12209,12248,8365,14044,13443,13840
TAGLN,1121.7,353.7,768,2.14589781455785,1.10158137807922,2.01e-01,1.00e+00,0.305802582471414,3515,357,270,434,176,223,1905
ANKRD46,756.7,299,457.7,1.52368299608654,0.607562779769794,2.01e-01,1.00e+00,0.305802582471414,3516,329,431,137,528,420,425
UBE3D,463.7,183.3,280.3,1.50375981841038,0.588574157135828,2.01e-01,1.00e+00,0.305802582471414,3516,230,203,117,205,246,390
PYGO2,12382.3,7003,5379.3,0.767831669713573,-0.381138028585733,2.01e-01,1.00e+00,0.305915839688352,3517,6973,5950,8086,4420,4550,7168
HIRIP3,2612,1490.3,1121.7,0.751986024256687,-0.411222245381965,2.01e-01,1.00e+00,0.306088303203881,3520,1404,1294,1773,881,1093,1391
SHLD1,284.7,108.7,176,1.66710218823596,0.737342539802895,2.01e-01,1.00e+00,0.306214995401923,3521,66,88,172,285,146,97
DYNLT4,89.7,34.7,55,1.59537209527023,0.673892949001966,2.02e-01,1.00e+00,0.306571747284779,3526,30,23,51,39,64,62
PREB,14938.3,8379.3,6559,0.782555318356538,-0.353735356007846,2.02e-01,1.00e+00,0.306704135707149,3528,8149,7491,9498,5574,5738,8365
METAP1D,1499.3,647.3,852,1.31458521345514,0.39460766272019,2.02e-01,1.00e+00,0.306717680614037,3528,685,610,647,806,812,938
ROPN1L,243.3,144.3,99,0.670945700698922,-0.57573208032808,2.02e-01,1.00e+00,0.306757898090145,3529,134,145,154,80,74,143
AP3M1,6624,3925,2699,0.688290088505103,-0.538911359840298,2.02e-01,1.00e+00,0.306757898090145,3529,4156,5170,2449,3925,2623,1549
HNRNPA1P16,41.3,26.7,14.7,0.528624179005595,-0.91968568024899,2.02e-01,1.00e+00,0.306757898090145,3530,24,13,43,12,7,25
TTF1,1871.7,1075,796.7,0.743272845517608,-0.428036192848042,2.02e-01,1.00e+00,0.306757898090145,3530,987,1124,1114,845,979,566
CCSAP,3496,1986,1510,0.760392746381868,-0.395183325142902,2.02e-01,1.00e+00,0.306761899424454,3530,1919,2458,1581,1786,1308,1436
ZNF875,1385.3,577.3,808,1.39982019788177,0.485241529825171,2.02e-01,1.00e+00,0.307020743540097,3534,446,561,725,551,958,915
GPCPD1,1425.7,588.3,837.3,1.4226436300508,0.508574314325518,2.02e-01,1.00e+00,0.307191943548552,3536,614,790,361,975,890,647
ADAT2,1320.7,757.7,563,0.742622841872664,-0.429298404055592,2.02e-01,1.00e+00,0.30722110849097,3536,747,901,625,640,494,555
AKTIPP2,49.3,17.7,31.7,1.70536180175409,0.770077847298215,2.02e-01,1.00e+00,0.307233839191968,3537,24,23,6,23,40,32
TAFA5,235,85,150,1.70891670795395,0.773082082239247,2.02e-01,1.00e+00,0.307348412726756,3539,97,66,92,79,85,286
PARP6,1416.7,609.7,807,1.32497279354869,0.405962736268014,2.02e-01,1.00e+00,0.307417329696632,3540,566,595,668,918,719,784
SHLD3,287.3,102.7,184.7,1.80415488007812,0.851323193986536,2.03e-01,1.00e+00,0.307702350516151,3543,98,174,36,256,229,69
ZBTB11-AS1,658.3,272,386.3,1.41497437648681,0.500775927792059,2.03e-01,1.00e+00,0.307825050416449,3545,244,247,325,293,367,499
APH1A,20877.3,9266,11611.3,1.252943767121,0.325321667081045,2.03e-01,1.00e+00,0.30798710272099,3547,10335,8585,8878,11650,9654,13530
CUL7,7355,4173.3,3181.7,0.762116830578616,-0.391915918721888,2.03e-01,1.00e+00,0.308022352314832,3548,3852,3613,5055,2289,3370,3886
TTC31,3040.3,1726,1314.3,0.760408809981344,-0.395152847957754,2.03e-01,1.00e+00,0.308027168331371,3548,1825,1554,1799,1050,1206,1687
TLCD4,428.3,260,168.3,0.644270548516256,-0.634261448414048,2.03e-01,1.00e+00,0.308159810026917,3550,166,431,183,167,155,183
REPIN1-AS1,149,59.7,89.3,1.47664308096887,0.56232115478081,2.03e-01,1.00e+00,0.308159810026917,3550,75,55,49,92,77,99
OSGIN2,1598.3,953.3,645,0.678324366536655,-0.559952777146493,2.03e-01,1.00e+00,0.308166333117626,3551,963,1319,578,879,647,409
YY1,10117.7,5710,4407.7,0.771892523596274,-0.373528110695758,2.03e-01,1.00e+00,0.308199339492176,3551,4778,4960,7392,3721,4338,5164
BRWD1P2,31,19.7,11.3,0.581995463572965,-0.780920186953619,2.03e-01,1.00e+00,0.308199339492176,3552,17,13,29,10,10,14
COX11,8256.7,4795,3461.7,0.722109210238853,-0.469711051188889,2.03e-01,1.00e+00,0.308199339492176,3552,4743,6573,3069,4691,2944,2750
EIF2S1,20943,12540,8403,0.670348708708743,-0.577016328490921,2.03e-01,1.00e+00,0.308199339492176,3552,13386,16369,7865,12838,8329,4042
NAPRT,62,43,19,0.492687472113772,-1.0212553071202,2.03e-01,1.00e+00,0.30849963901016,3556,33,17,79,37,15,5
LINC03124,453,183.7,269.3,1.46538854409534,0.551283242339437,2.03e-01,1.00e+00,0.308505855224711,3556,212,226,113,319,262,227
YTHDF3,12375.3,7384.7,4990.7,0.676186437698126,-0.564507014565383,2.03e-01,1.00e+00,0.308505855224711,3557,6897,10905,4352,7173,4986,2813
HSP90AA1,203174,115900.3,87273.7,0.753023781391621,-0.40923266723586,2.04e-01,1.00e+00,0.308888225102157,3561,114670,144353,88678,105700,95607,60514
DRC1,307.3,116,191.3,1.61875736481031,0.694886756599127,2.04e-01,1.00e+00,0.309099771988967,3564,150,67,131,147,117,310
SLC39A10,16923,10015.3,6907.7,0.689961951130291,-0.535411290140301,2.04e-01,1.00e+00,0.309356518468107,3567,9142,14861,6043,9204,7437,4082
SLC38A6,2375,1476.3,898.7,0.610272991360473,-0.71247335191589,2.04e-01,1.00e+00,0.309545469694548,3570,1516,2235,678,1530,681,485
TM2D1,3611.3,1476,2135.3,1.44683501825328,0.532900421580857,2.04e-01,1.00e+00,0.309601293108689,3571,1523,2079,826,2794,2179,1433
GLI4,2741.7,1633.7,1108,0.676298756887944,-0.564267392957444,2.04e-01,1.00e+00,0.309732559269765,3573,1306,1249,2346,917,685,1722
ACTR3-AS1,52,16.3,35.7,1.92957903065114,0.948286134210092,2.04e-01,1.00e+00,0.310001164115547,3576,22,23,4,21,19,67
CENPX,10578.7,4480.3,6098.3,1.36069865489167,0.44434759789969,2.05e-01,1.00e+00,0.310309987201283,3580,5092,3400,4949,6269,3782,8244
SLC2A1,18208.7,7444.3,10764.3,1.44597873085611,0.532046331601555,2.05e-01,1.00e+00,0.310335974405645,3581,7043,6046,9244,4869,14823,12601
BSCL2,213.3,77,136.3,1.74666750623353,0.804605004498814,2.05e-01,1.00e+00,0.310414017894953,3582,56,44,131,77,99,233
PRIM2,1331.3,810,521.3,0.646977725926826,-0.628212050750055,2.05e-01,1.00e+00,0.310512619878065,3583,915,1078,437,766,518,280
PSMD13,14114.7,6253,7861.7,1.25692151857133,0.329894571554195,2.05e-01,1.00e+00,0.310648459752437,3585,7173,5875,5711,7846,6637,9102
ZNF337,175,103.3,71.7,0.689803349773887,-0.535742960158703,2.05e-01,1.00e+00,0.310677788431144,3586,106,95,109,61,76,78
IGFBP1,53.3,36.3,17,0.510555617537963,-0.969859964782115,2.05e-01,1.00e+00,0.310677788431144,3586,19,19,71,16,26,9
CSNK1G2,27707.7,16601.3,11106.3,0.668828416127199,-0.580291951214235,2.05e-01,1.00e+00,0.310677788431144,3586,12690,11199,25915,6585,9322,17412
SLC36A1,1636,936.7,699.3,0.745760795823766,-0.423215137353795,2.05e-01,1.00e+00,0.310677788431144,3587,924,793,1093,584,656,858
METTL3,6647.3,3706,2941.3,0.793388536517584,-0.333900542411367,2.05e-01,1.00e+00,0.310698126894001,3587,4141,3800,3177,3054,2631,3139
CDH24,1164,704,460,0.650921891758379,-0.619443659228471,2.05e-01,1.00e+00,0.310698467357745,3588,498,508,1106,284,426,670
LINC01224,1019.3,420,599.3,1.42485697624708,0.51081711224955,2.05e-01,1.00e+00,0.310698467357745,3588,395,491,374,794,366,638
ZNF609,2475.7,1421,1054.7,0.742716105155275,-0.429117232645839,2.05e-01,1.00e+00,0.310839272105878,3590,1227,1237,1799,815,1325,1024
HSP90AB3P,7473,3287,4186,1.2734388233228,0.348729653441089,2.05e-01,1.00e+00,0.311154891552755,3594,3434,3768,2659,4190,4746,3622
B3GALT6,23477,13716.3,9760.7,0.711403333249864,-0.491260360785907,2.05e-01,1.00e+00,0.311211305151098,3595,12607,10575,17967,5378,10050,13854
TSC22D4,5749.3,3342,2407.3,0.719812233629353,-0.474307472971459,2.06e-01,1.00e+00,0.311266701464209,3596,2717,2584,4725,1979,1864,3379
CXorf38,1445.3,833.3,612,0.736806113946925,-0.440643062062467,2.06e-01,1.00e+00,0.311363127527968,3597,731,949,820,768,613,455
HCN2,190.7,121.7,69,0.552092414162892,-0.857018316479415,2.06e-01,1.00e+00,0.311363127527968,3597,90,71,204,23,71,113
SIPA1L2,199.7,65.7,134,1.95357179628302,0.966114277399289,2.06e-01,1.00e+00,0.311631882847691,3601,59,53,85,34,75,293
TRUB2,14495.7,8185.7,6310,0.770571196819031,-0.375999834380379,2.06e-01,1.00e+00,0.311631882847691,3601,8172,7154,9231,5078,5325,8527
RBM48,1238,729,509,0.69860771485156,-0.517445520123909,2.06e-01,1.00e+00,0.311637961750612,3602,778,988,421,590,502,435
IGF1R,6325,2719.7,3605.3,1.32705255759841,0.408225509430833,2.06e-01,1.00e+00,0.311655075266295,3602,2063,2740,3356,4417,3782,2617
MAF1,39975,22719.7,17255.3,0.759410678425258,-0.3970478093846,2.06e-01,1.00e+00,0.311831367035336,3604,21963,18096,28100,15904,12756,23106
KRT18P51,29,10.7,18.3,1.6334561078371,0.707927689023596,2.06e-01,1.00e+00,0.311972106811227,3606,14,11,7,18,21,16
POMGNT1,15545.3,8827,6718.3,0.760821267339854,-0.3943705202755,2.06e-01,1.00e+00,0.312115710784339,3608,8482,7670,10329,5303,5491,9361
CCDC74A,5371.7,3223.3,2148.3,0.664727992286792,-0.589163986541606,2.06e-01,1.00e+00,0.312310542772965,3611,3200,2704,3766,1485,1137,3823
MAK,69.7,23.3,46.3,1.87334256425447,0.90561473864213,2.06e-01,1.00e+00,0.312338950306749,3612,27,39,4,23,67,49
PPIH,3112.3,1359.7,1752.7,1.28875291345496,0.365975689065569,2.06e-01,1.00e+00,0.312374552301109,3612,1635,1251,1193,1680,1888,1690
CABIN1,5138.3,2941,2197.3,0.747047227600635,-0.420728643209572,2.07e-01,1.00e+00,0.312439914262726,3613,2265,2467,4091,1780,2274,2538
HSPA8,196093.7,86303.3,109790.3,1.2721462711747,0.347264561004426,2.07e-01,1.00e+00,0.312449364638882,3614,96547,96442,65921,121163,112546,95662
METTL4,2254,1372,882,0.64440196239618,-0.63396720739948,2.07e-01,1.00e+00,0.312504992517454,3615,1515,1954,647,1253,903,490
ACOT7,31244,17540,13704,0.781271900484159,-0.356103368270661,2.07e-01,1.00e+00,0.312624795799895,3616,16836,14825,20959,14416,10380,16316
RAB11B-AS1,402,164.3,237.7,1.43635629159356,0.522413657488198,2.07e-01,1.00e+00,0.312840563952602,3619,152,165,176,221,175,317
RRP9,10668.3,6118.3,4550,0.743079624121125,-0.428411284971564,2.07e-01,1.00e+00,0.313042300097762,3622,6717,5211,6427,3273,3656,6721
TMEM50B,3798.7,1589.3,2209.3,1.39106153838111,0.476186243858194,2.07e-01,1.00e+00,0.313079083530065,3623,1565,2082,1121,2935,2257,1436
CYP2W1,107.3,68.3,39,0.535574058144337,-0.900842013039396,2.07e-01,1.00e+00,0.313079083530065,3623,46,45,114,16,25,76
DNASE1L1,2141.7,1245,896.7,0.719012468464081,-0.475911306092985,2.07e-01,1.00e+00,0.313282079347074,3626,1011,1014,1710,750,733,1207
HACD3,28084.7,16000,12084.7,0.755425407892839,-0.404638786851199,2.07e-01,1.00e+00,0.31359969624435,3630,15865,19247,12888,16349,11572,8333
SAR1B,6244,2479,3765,1.51891568332427,0.603041786478476,2.08e-01,1.00e+00,0.31378283834317,3632,2787,3402,1248,5690,3516,2089
