SYMBOL,foldChange,log2FoldChange,AveExpr,t,B,PValue,PAdj,FDR,falsePos
PSME2P2,6.9838645852403,2.80402558587224,3.50750839179394,6.71861962369126,1.60303180316248,1.181e-04,1.000e+00,0.00205504446741468,2
CYCSP1,20.1352191256688,4.33164926768236,-2.53976524422646,6.71678509936514,1.50144070957997,1.183e-04,1.000e+00,0.00205705529621008,2
RPL36AP40,21.1600659089448,4.4032722160236,-2.49244493344673,6.71158707362228,1.50030151821521,1.190e-04,1.000e+00,0.00206653466264122,2
FUNDC2,3.32104293492274,1.73163637433105,5.38465502143661,6.70315295611196,1.46012636754869,1.200e-04,1.000e+00,0.00208120013264311,2
PREX1,111.39725863209,6.79956991970086,0.13441576574609,6.70246290477201,1.6355921438394,1.201e-04,1.000e+00,0.00208120013264311,2
RBMS2,0.315646082276762,-1.66362025005911,4.88199839540151,-6.70225445351856,1.50544635768814,1.202e-04,1.000e+00,0.00208120013264311,2
KLLN,0.0442284683972032,-4.49888090625437,-2.08524734559591,-6.69830150630812,1.51569628891659,1.207e-04,1.000e+00,0.00208801398768964,2
CCL26,0.0118040600441477,-6.40457302526342,-1.23123684174634,-6.69555100817489,1.54813620263456,1.210e-04,1.000e+00,0.00209214267182128,2
CD63,2.59854192529608,1.37770233586893,7.85937545506513,6.69192757943176,1.28951544379345,1.215e-04,1.000e+00,0.00209825724627098,2
RHOF,0.138510035392396,-2.85193758802556,1.70600088305894,-6.69057534201238,1.65387846139735,1.217e-04,1.000e+00,0.0020992466200895,2
SLC6A12-AS1,0.0382100885498625,-4.70990258870585,-3.18342532351611,-6.68701855579101,1.46359827735315,1.222e-04,1.000e+00,0.0021026316229725,2
RPS20P10,27.5075894732707,4.78175781479123,-1.11234414408875,6.68561663052007,1.58352205569551,1.223e-04,1.000e+00,0.0021026316229725,2
LHX6,0.0312205331979695,-5.00136101326936,-2.35001137474982,-6.68554575924729,1.49480100494076,1.223e-04,1.000e+00,0.0021026316229725,2
SLC7A5,0.283475798328915,-1.81870252416878,9.08930386684436,-6.68475816810326,1.21419975359399,1.225e-04,1.000e+00,0.0021026316229725,2
