id	filename	md5	size	state
61b69ee3-5580-4b5b-9b04-24ea7115e469	61b69ee3-5580-4b5b-9b04-24ea7115e469/nationwidechildrens.org_clinical.TCGA-LB-A9Q5.xml	8ee69cd3d4a4825e38de24bf1b919a3b	65105	validated
62199e79-9861-4ef3-823e-9a55b5db0b6b	62199e79-9861-4ef3-823e-9a55b5db0b6b/nationwidechildrens.org_clinical.TCGA-XD-AAUH.xml	941558ab674b8ec5f68db742ca61963e	47950	validated
62212d1a-46e1-4759-94b6-08ef9c755dcc	62212d1a-46e1-4759-94b6-08ef9c755dcc/nationwidechildrens.org_clinical.TCGA-IB-7649.xml	ea304348440e9fd4979000b434454095	36964	validated
622acfdc-3f23-414b-8b37-b36bd975c1c3	622acfdc-3f23-414b-8b37-b36bd975c1c3/nationwidechildrens.org_clinical.TCGA-IB-A5SO.xml	80bc9b35af0e5574fc5f4108888ff2ca	43569	validated
62b3b50e-d4cf-418b-ab68-2ccb867b611e	62b3b50e-d4cf-418b-ab68-2ccb867b611e/nationwidechildrens.org_clinical.TCGA-3A-A9IJ.xml	b3ee8ed3fcbe4d247fde2706006b1130	37017	validated
639e6fa6-052a-41a6-a496-6f5844d6d996	639e6fa6-052a-41a6-a496-6f5844d6d996/nationwidechildrens.org_clinical.TCGA-FB-A5VM.xml	91ffecf16bdc43942587e00803f7b90e	62730	validated
64c15e24-36f0-4978-becf-522102db9560	64c15e24-36f0-4978-becf-522102db9560/nationwidechildrens.org_clinical.TCGA-IB-8127.xml	dac43fc38493e299a8b992c54f346009	43352	validated
65151c06-f6df-4c5c-82cc-4284e380e2be	65151c06-f6df-4c5c-82cc-4284e380e2be/nationwidechildrens.org_clinical.TCGA-3E-AAAZ.xml	9174fdab7f34c643ddc4365989e90c88	46025	validated
659883d2-e962-4cfd-ad89-014f1eb90d09	659883d2-e962-4cfd-ad89-014f1eb90d09/nationwidechildrens.org_clinical.TCGA-2J-AABU.xml	0e9dce1d00535f8f3a95c2b39e4eb51d	34736	validated
6ef94ca2-0092-4ecb-b620-a49545a5cb64	6ef94ca2-0092-4ecb-b620-a49545a5cb64/nationwidechildrens.org_clinical.TCGA-HV-AA8V.xml	466f7c650d39b83a183bbecbff122f88	59430	validated
6fea11fc-c267-4ab0-b047-f8622bfd94e7	6fea11fc-c267-4ab0-b047-f8622bfd94e7/nationwidechildrens.org_clinical.TCGA-IB-AAUU.xml	7d4e864b94085bddd4ec078531798922	42610	validated
6ffc3558-8e38-4157-9891-34e67e07cb38	6ffc3558-8e38-4157-9891-34e67e07cb38/nationwidechildrens.org_clinical.TCGA-IB-A5SS.xml	cbfe76e245e2ec3074d10c5a8e0ac8ca	43078	validated
7469d11d-84fc-42ee-98eb-c3be28a11aa6	7469d11d-84fc-42ee-98eb-c3be28a11aa6/nationwidechildrens.org_clinical.TCGA-3A-A9IU.xml	b71e74eae0a70ff3bd87761c66b1a362	34585	validated
75a553c2-9815-44a8-abd8-5411f77ba6d7	75a553c2-9815-44a8-abd8-5411f77ba6d7/nationwidechildrens.org_clinical.TCGA-3A-A9IN.xml	aa0cbc30fbaa3825671e5ee2a8ed1572	47472	validated
764b36c7-d32e-4bba-a0bc-47fc19bdaab3	764b36c7-d32e-4bba-a0bc-47fc19bdaab3/nationwidechildrens.org_clinical.TCGA-FB-A7DR.xml	4361e4b5d21ba058cf7eed3d0cc9de52	36645	validated
78468672-d205-4be4-95b7-5d4ea422bad4	78468672-d205-4be4-95b7-5d4ea422bad4/nationwidechildrens.org_clinical.TCGA-FB-AAQ0.xml	9385b1b3f5385b29d564af9a813a324d	36867	validated
7af49931-52d2-49d9-8c3a-4a818daddf9f	7af49931-52d2-49d9-8c3a-4a818daddf9f/nationwidechildrens.org_clinical.TCGA-3A-A9IR.xml	be61f8373e0f91131972ea7fb95053e1	36996	validated
7b22f00c-54be-4680-94da-9b3f3f814048	7b22f00c-54be-4680-94da-9b3f3f814048/nationwidechildrens.org_clinical.TCGA-IB-7891.xml	d21d49dee2eca890770edb28540178af	86612	validated
7c3d9c7e-8f82-4a4f-bf6b-e94b51e3fdd1	7c3d9c7e-8f82-4a4f-bf6b-e94b51e3fdd1/nationwidechildrens.org_clinical.TCGA-2J-AABI.xml	b0ed9ce1668c7c2a6adce3632d05da82	48082	validated
7c411448-8d89-449b-ae46-5dfcf7d238db	7c411448-8d89-449b-ae46-5dfcf7d238db/nationwidechildrens.org_clinical.TCGA-IB-AAUS.xml	e00f4934cce492473e375a7ad995271a	42701	validated
7c5051b8-3e52-4164-a1ed-b2c00a0b3b95	7c5051b8-3e52-4164-a1ed-b2c00a0b3b95/nationwidechildrens.org_clinical.TCGA-FB-AAPY.xml	ec8f402c19ba2e88d856363ec5b064d8	47575	validated
7c6c8c77-3e3f-4903-bf61-eb0057a8a6c8	7c6c8c77-3e3f-4903-bf61-eb0057a8a6c8/nationwidechildrens.org_clinical.TCGA-F2-A44G.xml	9cde1e00e60cd7757b83a4deb0675fc6	53974	validated
7e352201-ff75-4b77-9da3-9b123b01602a	7e352201-ff75-4b77-9da3-9b123b01602a/nationwidechildrens.org_clinical.TCGA-HV-A5A3.xml	329178339b8ce3531be49eeea02ec4d4	28391	validated
7e83b76d-1f74-48cd-9a33-0c5a4ff24fab	7e83b76d-1f74-48cd-9a33-0c5a4ff24fab/nationwidechildrens.org_clinical.TCGA-US-A774.xml	08d75b6b55a3778a6fb5c194771bf4c4	35512	validated
7f9937b8-b891-4f11-a296-7bd04c68edc5	7f9937b8-b891-4f11-a296-7bd04c68edc5/nationwidechildrens.org_clinical.TCGA-IB-A5SP.xml	42d9b95913009ac3cd8b431188b219eb	42770	validated
7fb78937-4eea-43aa-8539-63a7daf5bb92	7fb78937-4eea-43aa-8539-63a7daf5bb92/nationwidechildrens.org_clinical.TCGA-US-A77E.xml	69dff423cff0bcb33be75cde9f6dc0c0	29317	validated
8103b2e8-d018-43f0-9d11-621d955ec2a0	8103b2e8-d018-43f0-9d11-621d955ec2a0/nationwidechildrens.org_clinical.TCGA-FZ-5919.xml	b2e1163d7a72434ef6d0bbad8738c3b8	34585	validated
84ea922b-ad3a-4f54-8a72-eae3265c1787	84ea922b-ad3a-4f54-8a72-eae3265c1787/nationwidechildrens.org_clinical.TCGA-S4-A8RP.xml	bca43b27dee928392eaf7623632d5511	73379	validated
85a55ec2-58bf-45da-aab6-a5550d92bd9b	85a55ec2-58bf-45da-aab6-a5550d92bd9b/nationwidechildrens.org_clinical.TCGA-M8-A5N4.xml	ccc0752c4149f1c0c44e8a41989310f8	45719	validated
8737e93c-7db9-4051-a898-7e7a9111d9eb	8737e93c-7db9-4051-a898-7e7a9111d9eb/nationwidechildrens.org_clinical.TCGA-HZ-8001.xml	b52f077b809d0cd4d9af1aca0d8d4bfc	47997	validated
879637d3-d940-4603-8c33-3c0dcf2f9d80	879637d3-d940-4603-8c33-3c0dcf2f9d80/nationwidechildrens.org_clinical.TCGA-3A-A9I7.xml	a89f3253d146b5874f5f2df62d72e4e2	59192	validated
8976f3b1-c067-40a0-a55c-848860431f63	8976f3b1-c067-40a0-a55c-848860431f63/nationwidechildrens.org_clinical.TCGA-F2-A8YN.xml	bacce3f403bae7e5b829108ce6da6b0d	42731	validated
8cf1748c-e7a2-475d-a15a-e7acbe84d326	8cf1748c-e7a2-475d-a15a-e7acbe84d326/nationwidechildrens.org_clinical.TCGA-IB-7645.xml	0949c9443d5b1c20d6b95eadc9a646c0	83849	validated
8e6dd1ad-f079-4f8c-a832-6775a742ad9f	8e6dd1ad-f079-4f8c-a832-6775a742ad9f/nationwidechildrens.org_clinical.TCGA-IB-7890.xml	cfc570d11e7a1aafb4ed1fb3757f89de	37303	validated
90d78ef1-71bb-45d2-b485-e801083686c3	90d78ef1-71bb-45d2-b485-e801083686c3/nationwidechildrens.org_clinical.TCGA-US-A776.xml	7beda719a106c76d13d65285a574121e	53292	validated
