"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","c-1","c-2","c-3","d-1","d-2","d-3"
"IFIT1",18063.3333333333,11078,6985.33333333333,7.90425192369681,0.630563811859899,-0.665285718948512,"1.1e-27","2.2e-23",3.66686144692529e-25,2.20011686815517e-23,11318,11218,10698,6764,7142,7050
"CXCL1",1299,946.333333333333,352.666666666667,4.11737576547216,0.373702432342563,-1.42003814097033,"1.9e-27","3.7e-23",6.02315651636366e-25,3.67412547498184e-23,941,1006,892,368,305,385
"CMPK2",1815.66666666667,1220.33333333333,595.333333333333,4.59565549004029,0.488671327334822,-1.0330636375821,"2.4e-27","4.8e-23",7.75817569733954e-25,4.81006893235052e-23,1201,1217,1243,601,564,621
"PPL",2373,790.666666666667,1582.33333333333,4.97454443494348,1.9990883560326,0.999342237961999,"2.7e-26","5.4e-22",8.61497379549369e-24,5.42743349116102e-22,786,793,793,1678,1630,1439
"CTSL",44705.6666666667,27345.6666666667,17360,9.21131459303392,0.63487542104658,-0.655454569255981,"1.2e-25","2.3e-21",3.61969077258565e-23,2.31660209445482e-21,27695,27623,26719,17582,16480,18018
"CCND1",8977.66666666667,5488.33333333333,3489.33333333333,6.89618743210185,0.635991584567204,-0.652920418974407,"2.0e-25","4.0e-21",6.22670763288607e-23,4.04735996137594e-21,5361,5422,5682,3432,3497,3539
"BTBD11",1435.33333333333,1006.33333333333,429,4.25809504651661,0.426198490027828,-1.23040261306009,"4.8e-25","9.5e-21",1.44115330130657e-22,9.51161178862336e-21,926,992,1101,433,450,404
"F2RL2",9725.33333333333,3641.66666666667,6083.66666666667,7.01037861880824,1.6704239059001,0.74021426397729,"4.9e-25","9.7e-21",1.45071116527643e-22,9.71976480735206e-21,3552,3590,3783,5993,6518,5740
"PLXDC2",11172,4372.66666666667,6799.33333333333,7.21062379180365,1.55530342370514,0.637196062781513,"1.7e-24","3.4e-20",5.03748548764797e-22,3.42549013160062e-20,4275,4493,4350,6571,6843,6984
"CD44",32994.6666666667,19862.6666666667,13132,8.77315280099975,0.661150697192625,-0.596948949760644,"1.8e-24","3.6e-20",5.25980004733087e-22,3.6292620326583e-20,19748,19711,20129,12765,13539,13092
"NPC1",31802,19293,12509,8.7200441221792,0.648476903395389,-0.624872903525769,"2.2e-24","4.3e-20",6.13846383124609e-22,4.29692468187226e-20,19185,19050,19644,12422,12021,13084
"SEMA7A",2382.66666666667,1537.33333333333,845.333333333333,4.98570217515004,0.54935972222954,-0.864176955623647,"2.2e-24","4.4e-20",6.1739056437295e-22,4.38347300704795e-20,1569,1537,1506,829,883,824
"SULF1",6564.33333333333,2491.33333333333,4073,6.4436110791739,1.63450498292802,0.708853775290915,"6.2e-24","1.2e-19",1.70959351313837e-21,1.23090732945963e-19,2610,2453,2411,3885,4233,4101
"AL138828.1",2012.66666666667,1414.33333333333,598.333333333333,4.74484998317983,0.424330658761567,-1.23673917481319,"1.3e-23","2.6e-19",3.50622992439946e-21,2.5595478448116e-19,1400,1399,1444,552,529,714
"AL606500.1",859.333333333333,649.666666666667,209.666666666667,3.52490060116953,0.321845942564355,-1.63555781364011,"3.6e-23","7.1e-19",9.69510871126239e-21,7.17438044633417e-19,601,645,703,203,245,181
"TM4SF19",1309.66666666667,895.333333333333,414.333333333333,4.12713153963158,0.4623268144578,-1.11301505512678,"8.7e-23","1.7e-18",2.30616675522851e-20,1.72962506642138e-18,917,885,884,445,401,397
"RSAD2",2690.66666666667,1772.33333333333,918.333333333333,5.16137197904725,0.519095080203518,-0.945929280437571,"1.0e-22","2.0e-18",2.69236952108012e-20,2.04620083602089e-18,1834,1770,1713,876,855,1024
"ID2",1707.33333333333,1124.33333333333,583,4.5074179637353,0.518955596101418,-0.946316993731704,"1.4e-22","2.7e-18",3.58358981920686e-20,2.75936416078928e-18,1153,1129,1091,561,598,590
"STC2",4105.66666666667,2586.33333333333,1519.33333333333,5.76901981740542,0.587747991518113,-0.766730391050425,"1.6e-22","3.1e-18",3.95460878423373e-20,3.08459485170231e-18,2483,2518,2758,1454,1573,1531
"NCOA7",7222.66666666667,4393.33333333333,2829.33333333333,6.58247722397435,0.643945188368182,-0.63499020132192,"1.6e-22","3.2e-18",4.0177528878709e-20,3.17402478141801e-18,4358,4470,4352,2725,2941,2822
"DNER",4478,2943,1535,5.89426169327639,0.522110685581921,-0.937572409524079,"2.0e-22","4.0e-18",5.01546812195071e-20,4.01237449756057e-18,2967,2972,2890,1596,1316,1693
"CNN1",1588.66666666667,523.333333333333,1065.33333333333,4.39556427871106,2.03295385330779,1.02357746734221,"2.1e-22","4.2e-18",5.26251191657159e-20,4.26263465242299e-18,539,521,510,1106,1104,986
"IRAK2",1734.33333333333,1183.33333333333,551,4.53019223930342,0.466767696334368,-1.09922337521067,"2.4e-22","4.7e-18",5.80200186827376e-20,4.75764153198449e-18,1150,1171,1229,549,488,616
"ACKR3",1209,369.666666666667,839.333333333333,4.00088225678238,2.26708460055579,1.18083822898119,"2.6e-22","5.0e-18",6.10735374474423e-20,5.06910360813771e-18,396,344,369,875,844,799
"CTSS",3127,1976.66666666667,1150.33333333333,5.37688504696854,0.582088837637706,-0.780688742718355,"4.8e-22","9.4e-18",1.12147060334303e-19,9.42035306808146e-18,1913,2016,2001,1210,1090,1151
"SIRPB1",1138.66666666667,814.666666666667,324,3.92725482557627,0.397093679879483,-1.33244869569481,"4.8e-22","9.5e-18",1.12147060334303e-19,9.53250012841576e-18,779,832,833,300,375,297
