"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","a-1","a-2","a-3","c-1","c-2","c-3","regulated"
"ARHGEF18",13928.6666666667,11762.6666666667,2166,7.42656170985605,0.184076675599671,-2.4416212608584,"0.0e+00","0.0e+00",0,0,12132,11898,11258,2085,2157,2256,"down"
"ARID3B",14548.3333333333,14271.3333333333,277,7.4882235821323,0.0194046864255616,-5.68745107002124,"0.0e+00","0.0e+00",0,0,14399,14550,13865,274,283,274,"down"
"ARL2-SNX15",10279.6666666667,8954.33333333333,1325.33333333333,6.98692457918482,0.148108211319007,-2.75527646708427,"0.0e+00","0.0e+00",0,0,8987,8990,8886,1391,1307,1278,"down"
"ARMCX2",3806,0,3806,5.57564127861442,30448.4722451206,14.8940822221414,"0.0e+00","0.0e+00",0,0,0,0,0,3821,3693,3904,"up"
"ARPC1B",30272.6666666667,26133.6666666667,4139,8.54798208675892,0.158388825277363,-2.6584575415761,"0.0e+00","0.0e+00",0,0,26759,27384,24258,4139,4284,3994,"down"
"ARPC4",20322.6666666667,16101.3333333333,4221.33333333333,7.97282227583452,0.262130359773124,-1.93164363951331,"0.0e+00","0.0e+00",0,0,16372,16251,15681,4123,4222,4319,"down"
"ARRB1",6185.33333333333,5041,1144.33333333333,6.25256482803337,0.227006018740656,-2.13919754586375,"0.0e+00","0.0e+00",0,0,5019,5051,5053,1126,1142,1165,"down"
"ARRDC2",7651.33333333333,7075,576.333333333333,6.55862751075898,0.0813479109922707,-3.61975089169239,"0.0e+00","0.0e+00",0,0,7050,7393,6782,511,608,610,"down"
"ARRDC4",2971.33333333333,41.6666666666667,2929.66666666667,5.22253179150284,69.7704736965726,6.12454472353277,"0.0e+00","0.0e+00",0,0,29,54,42,3021,2843,2925,"up"
"ARSI",5121.33333333333,4621.66666666667,499.666666666667,5.97685373192506,0.108012590204043,-3.2107286087367,"0.0e+00","0.0e+00",0,0,4745,4708,4412,467,495,537,"down"
"ASNS",16034,14201.6666666667,1832.33333333333,7.62962952693089,0.129005163481436,-2.9544992836576,"0.0e+00","0.0e+00",0,0,14117,14081,14407,1786,1921,1790,"down"
"ASPM",4455,110.333333333333,4344.66666666667,5.79963878455076,39.3249805798227,5.29737414807059,"0.0e+00","0.0e+00",0,0,123,114,94,4266,4407,4361,"up"
"ATF3",11744.6666666667,11397.3333333333,347.333333333333,7.17856498451532,0.0304062367166976,-5.0394889201382,"0.0e+00","0.0e+00",0,0,11440,11430,11322,320,376,346,"down"
"ATF4",54963.6666666667,45094,9869.66666666667,9.40917655175023,0.218901480075838,-2.19164638572779,"0.0e+00","0.0e+00",0,0,46126,44433,44723,10454,9587,9568,"down"
"ATG101",10011.6666666667,8649.66666666667,1362,6.94881138152534,0.157436776755047,-2.66715550547404,"0.0e+00","0.0e+00",0,0,8634,8510,8805,1360,1345,1381,"down"
"ATG2B",2208,30.6666666666667,2177.33333333333,4.80115223582242,70.8371888239595,6.14643505471567,"0.0e+00","0.0e+00",0,0,25,39,28,2245,2097,2190,"up"
"ATG7",9692,8262.33333333333,1429.66666666667,6.90199926388529,0.172961515977046,-2.53147702168029,"0.0e+00","0.0e+00",0,0,8156,8291,8340,1361,1541,1387,"down"
"ATM",4826,349,4477,5.91268008439497,12.8276260682418,3.68118229910572,"0.0e+00","0.0e+00",0,0,349,316,382,4527,4493,4411,"up"
"ATP10A",2229.66666666667,1.33333333333333,2228.33333333333,4.81544882438202,1509.65790631536,10.5600059515789,"0.0e+00","0.0e+00",0,0,0,4,0,2209,2200,2276,"up"
"ATP10D",2807,197.333333333333,2609.66666666667,5.13934312906482,13.1975919035343,3.7222028073677,"0.0e+00","0.0e+00",0,0,178,204,210,2583,2620,2626,"up"
"ATP2B1",5305.33333333333,343.666666666667,4961.66666666667,6.04842101008847,14.4216817572389,3.85016750643947,"0.0e+00","0.0e+00",0,0,338,310,383,4916,5137,4832,"up"
"ATP5MC1",14417,12777.3333333333,1639.66666666667,7.47597101178916,0.128355473008682,-2.96178328191799,"0.0e+00","0.0e+00",0,0,13426,12743,12163,1661,1706,1552,"down"
"ATP6AP1",26342.6666666667,21693.3333333333,4649.33333333333,8.34735982634032,0.214330242861866,-2.22209266041924,"0.0e+00","0.0e+00",0,0,21608,21648,21824,4680,4659,4609,"down"
"ATP6V0B",13553.6666666667,11305.6666666667,2248,7.38723808434265,0.198758867847726,-2.33090886561221,"0.0e+00","0.0e+00",0,0,11042,11429,11446,2153,2235,2356,"down"
"ATP6V0E1",33350.3333333333,28944,4406.33333333333,8.68777500658159,0.152229480396968,-2.71568032011951,"0.0e+00","0.0e+00",0,0,29372,28723,28737,4369,4448,4402,"down"
"ATP6V1A",7254,536,6718,6.49649840101742,12.5402110901671,3.64848972820866,"0.0e+00","0.0e+00",0,0,569,534,505,6739,6810,6605,"up"
"ATRX",4657.66666666667,262.666666666667,4395,5.86243767178522,16.711852812796,4.06279978613501,"0.0e+00","0.0e+00",0,0,257,234,297,4520,4224,4441,"up"
"BACH1",4085.33333333333,442,3643.33333333333,5.67346734942676,8.24171964238834,3.04294538846489,"0.0e+00","0.0e+00",0,0,472,450,404,3589,3609,3732,"up"
"BAG3",14371.3333333333,11705.3333333333,2666,7.47208959335707,0.22779085508362,-2.13421826527039,"0.0e+00","0.0e+00",0,0,11976,11993,11147,2677,2640,2681,"down"
