"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","a-1","a-2","a-3","b-1","b-2","b-3"
"CX3CL1",23620.6666666667,19035.6666666667,4585,8.29686853455166,0.240886951191772,-2.05357184975762,"1.1e-247","1.7e-243",3.76203735989663e-245,1.69291681195348e-243,18954,19611,18542,4819,4580,4356
"CYTH4",4392.33333333333,3831.66666666667,560.666666666667,5.87079607877492,0.146439154244485,-2.77162674835578,"4.2e-247","6.4e-243",1.38552697103566e-244,6.37342406676404e-243,3865,3996,3634,579,526,577
"LAMB3",13307.3333333333,11068.6666666667,2238.66666666667,7.46921050228317,0.202266194206995,-2.30567287991161,"1.9e-246","2.9e-242",6.20694603760688e-244,2.91726463767523e-242,10768,11550,10888,2392,2209,2115
"S100A3",3981,3500.66666666667,480.333333333333,5.72926826417162,0.13722594333342,-2.86537483801053,"1.7e-243","2.5e-239",5.32703481620856e-241,2.55697671178011e-239,3323,3652,3527,456,516,469
"TPM2",20160,3019.66666666667,17140.3333333333,8.06839373310613,5.67625075896104,2.50493832454972,"1.6e-239","2.4e-235",4.94464079840073e-237,2.42287399121636e-235,3155,2978,2926,15654,17328,18439
"IL6ST",5086,4528,558,6.08234912125342,0.123313701877896,-3.01959498263225,"3.8e-238","5.8e-234",1.16490198264542e-235,5.8245099132271e-234,4419,4301,4864,558,511,605
"ZCCHC3",7983.66666666667,1500,6483.66666666667,6.73253597885656,4.32081969024509,2.1113050278689,"8.3e-238","1.3e-233",2.47942463725198e-235,1.26450656499851e-233,1439,1555,1506,6566,6467,6418
"DCUN1D1",3488,3142.33333333333,345.666666666667,5.53837164859032,0.109857380351387,-3.18629629987648,"2.7e-236","4.1e-232",7.84670579019377e-234,4.08028701090076e-232,3256,2877,3294,334,367,336
"C15orf48",31560.3333333333,24733,6827.33333333333,8.71489101576392,0.276045803706503,-1.85702042463175,"7.9e-236","1.2e-231",2.28163881940625e-233,1.20926857428531e-231,25197,24198,24804,6698,7150,6634
"TRAF1",22905.6666666667,17606,5299.66666666667,8.2525477752035,0.301033525133397,-1.73200393065858,"3.4e-235","5.2e-231",9.63817897432928e-233,5.20461664613781e-231,17566,17424,17828,5433,5209,5257
"LARP6",7938.33333333333,6358.66666666667,1579.66666666667,6.72419494732825,0.248456109502907,-2.00893707688271,"5.8e-235","8.8e-231",1.60215400632828e-232,8.81184703480554e-231,6380,6365,6331,1569,1551,1619
"TUFT1",10425.3333333333,1529,8896.33333333333,7.11733877967587,5.81706738386698,2.54029201618368,"3.1e-234","4.7e-230",8.35450296550527e-232,4.67852166068295e-230,1612,1401,1574,9443,8664,8582
"GNPDA1",23117,5557.66666666667,17559.3333333333,8.26580980379111,3.15936485863623,1.65963455606216,"1.1e-233","1.7e-229",2.98023616879877e-231,1.6987346162153e-229,5551,5576,5546,17614,17479,17585
"AMPD3",11586.3333333333,9836.66666666667,1749.66666666667,7.2695389927063,0.177957512514208,-2.49039525707636,"6.0e-233","9.2e-229",1.59596775899732e-230,9.25661300218446e-229,9775,9907,9828,1914,1586,1749
"ITPR3",37137.6666666667,28099.3333333333,9038.33333333333,8.94963220510738,0.321673691805751,-1.63633014538538,"3.8e-229","5.7e-225",9.7379200702145e-227,5.74537284142655e-225,27891,28147,28260,9118,9112,8885
"CKB",13569.3333333333,10636,2933.33333333333,7.49736244672548,0.275811399303097,-1.85824601012325,"5.7e-227","8.8e-223",1.46809223091874e-224,8.80855338551245e-223,10654,10948,10306,2888,2993,2919
"HLA-B",25760.6666666667,20177.6666666667,5583,8.42198570606728,0.276699122986846,-1.85361002363387,"4.0e-226","6.1e-222",1.00660500224033e-223,6.14029051366604e-222,19562,20928,20043,5742,5624,5383
"EFNB1",9212.33333333333,7443,1769.33333333333,6.93890222579203,0.237806678040535,-2.07213886575549,"2.4e-224","3.7e-220",6.03927760267534e-222,3.74435211365871e-220,7490,7636,7203,1826,1691,1791
"NASP",10204.3333333333,2011.66666666667,8192.66666666667,7.08638088198522,4.07262457973876,2.02595883081275,"8.7e-224","1.3e-219",2.11502240834895e-221,1.33246411725984e-219,2076,1972,1987,8255,7860,8463
"ZWINT",5583.33333333333,899,4684.33333333333,6.21677176140982,5.21162786243715,2.38173407159138,"1.5e-223","2.3e-219",3.65292246894807e-221,2.33787038012677e-219,949,918,830,4678,4693,4682
"NUDCD3",10039.6666666667,2024.33333333333,8015.33333333333,7.06293264822786,3.9592718611844,1.98523513261598,"1.8e-219","2.7e-215",4.24794865474628e-217,2.76116662558508e-215,2069,1985,2019,8363,7799,7884
"WNT9A",5427.33333333333,672.666666666667,4754.66666666667,6.17605066915372,7.06999418004325,2.82170902742135,"8.9e-219","1.4e-214",2.07275967284863e-216,1.36802138408009e-214,737,641,640,4857,4991,4416
"LRP1",2901.33333333333,2585.66666666667,315.666666666667,5.27319801044873,0.122024703961264,-3.03475484321014,"1.9e-217","2.9e-213",4.40026262595027e-215,2.94817595938668e-213,2545,2745,2467,295,320,332
"CTSS",2351.66666666667,2168,183.666666666667,4.97081986188954,0.0848780543814963,-3.55846460334223,"1.0e-216","1.6e-212",2.30994353930009e-214,1.57076160672406e-212,2111,2156,2237,198,197,156
"ADGRG1",5654,4718.33333333333,935.666666666667,6.23496158807182,0.198364825085283,-2.33377187145123,"1.1e-216","1.7e-212",2.40342928264189e-214,1.65836620502291e-212,4664,4880,4611,990,882,935
"PTK7",7962,6419.66666666667,1542.33333333333,6.72849629087677,0.240301676565382,-2.05708138081773,"3.7e-216","5.7e-212",8.18415722210455e-214,5.72891005547318e-212,6205,6535,6519,1606,1515,1506
"ARNTL2",5041.33333333333,4271,770.333333333333,6.06964751803773,0.180512987121572,-2.46982545842939,"1.0e-211","1.5e-207",2.19143904012004e-209,1.55592171848523e-207,4160,4286,4367,832,713,766
"CDCP1",31008.3333333333,24108,6900.33333333333,8.68942580299027,0.286212900553131,-1.80483939436514,"6.1e-209","9.3e-205",1.30268694942793e-206,9.37934603588111e-205,23451,24200,24673,6592,6880,7229
"TAPBP",40582.6666666667,31737.6666666667,8845,9.07758145746202,0.27868728966008,-1.84328088922542,"1.9e-207","2.9e-203",3.95518893118445e-205,2.88728791976465e-203,31748,33035,30430,8669,8613,9253
"EPHB6",9550,7521.66666666667,2028.33333333333,6.99077217894212,0.269684552381124,-1.89065520898835,"1.1e-205","1.6e-201",2.22249499767325e-203,1.6446462982782e-201,7531,7677,7357,2016,2103,1966
"SLC16A2",2776,2385,391,5.20967499546464,0.163982674579643,-2.60838469844894,"3.7e-205","5.6e-201",7.46366962691799e-203,5.59775222018849e-201,2333,2406,2416,390,381,402
"PPL",8331.33333333333,1771,6560.33333333333,6.793860055553,3.70424027087941,1.88917768022986,"9.2e-203","1.4e-198",1.85798334571471e-200,1.41206734274318e-198,1799,1777,1737,6372,6590,6719
"ZC3H12A",11428,8959,2469,7.2496598941701,0.275660925866911,-1.85903331086582,"1.8e-200","2.8e-196",3.59700024944717e-198,2.76969019207432e-196,8977,9244,8656,2561,2415,2431
"CCND1",43000,31828.6666666667,11171.3333333333,9.16104935699823,0.350988197060075,-1.51050557811593,"5.6e-200","8.6e-196",1.10381945171509e-197,8.60979172337771e-196,32179,31398,31909,11141,11182,11191
"SDCBP",12377,9865.33333333333,2511.66666666667,7.36474495145703,0.254668286372544,-1.97330878168962,"7.9e-199","1.2e-194",1.52281697186332e-196,1.20302540777202e-194,9554,9895,10147,2645,2362,2528
"RAPGEF3",2956,2534.33333333333,421.666666666667,5.30015645269364,0.166482963863408,-2.58655354045726,"8.5e-199","1.3e-194",1.62573153681315e-196,1.30058522945052e-194,2583,2542,2478,447,416,402
"CYP2S1",10766,8883.33333333333,1882.66666666667,7.16359014337358,0.21198313444255,-2.23797860757059,"1.3e-198","1.9e-194",2.37960218254162e-196,1.92747776785871e-194,8993,9171,8486,1823,1777,2048
"HMGB2",13220.6666666667,2774.66666666667,10446,7.45983729930235,3.76443163726148,1.9124320598502,"4.0e-198","6.1e-194",7.5037591322891e-196,6.15308248847706e-194,2633,2757,2934,10496,10153,10689
"PTP4A2",18369.6666666667,15090.6666666667,3279,7.93423574425244,0.217296499108635,-2.2022631636231,"1.5e-197","2.3e-193",2.73583292040404e-195,2.27074132393536e-193,15475,15188,14609,3022,3229,3586
"MXD1",7813.33333333333,6168.33333333333,1645,6.70125887360532,0.266661242173272,-1.90691994299346,"2.2e-197","3.3e-193",3.92509426322367e-195,3.29707918110789e-193,6053,6255,6197,1639,1706,1590
"CYB5R2",21078.3333333333,16216,4862.33333333333,8.13264917373663,0.299876465712103,-1.73755979086248,"2.7e-196","4.2e-192",4.92360033972852e-194,4.18506028876924e-192,15967,15998,16683,4897,4645,5045
"TCOF1",11041.3333333333,2545.33333333333,8496,7.20004465969574,3.337585814049,1.73880493100583,"9.0e-195","1.4e-190",1.60852591090372e-192,1.3833322833772e-190,2600,2573,2463,8397,8460,8631
"TBL1XR1",3681.33333333333,3068.66666666667,612.666666666667,5.61643741068571,0.199648219993447,-2.32446788551632,"1.2e-193","1.8e-189",2.06126898663134e-191,1.79330401836926e-189,2965,3094,3147,594,642,602
"IL4R",12692.3333333333,9710.33333333333,2982,7.40098917860709,0.307113315127007,-1.70315703209728,"4.6e-193","6.9e-189",7.9333082115963e-191,6.98131122620474e-189,9739,9820,9572,3074,2882,2990
"SRGN",10150.6666666667,8510.66666666667,1640,7.07873290334369,0.192648731180957,-2.37595541070651,"3.6e-191","5.5e-187",6.24511183772675e-189,5.55814953557681e-187,8148,8415,8969,1507,1795,1618
"TSC22D1",15986,3822,12164,7.7337846375441,3.18258756674094,1.67020020944946,"1.6e-190","2.4e-186",2.67563393714854e-188,2.40807054343369e-186,3843,3845,3778,12657,12025,11810
"MREG",13252.6666666667,10257,2995.66666666667,7.46336959600745,0.292088909336851,-1.77552051504445,"1.1e-187","1.6e-183",1.77832919784721e-185,1.61827957004097e-183,9867,10291,10613,3051,3052,2884
"CXCL16",3496.66666666667,2893.66666666667,603,5.54234551937484,0.208522488278403,-2.26172511419964,"1.7e-186","2.6e-182",2.84020474737997e-184,2.61298836758957e-182,2857,2907,2917,633,597,579
"GOLM1",5592.66666666667,4564,1028.66666666667,6.21927990835874,0.225403835614179,-2.14941602935738,"7.6e-186","1.2e-181",1.24657471985252e-183,1.15931448946285e-181,4469,4546,4677,956,1054,1076
"SDHB",12093.3333333333,2473.66666666667,9619.66666666667,7.33128087138085,3.88853885345182,1.95922815395813,"3.4e-185","5.1e-181",5.48243969314076e-183,5.15349331155232e-181,2632,2331,2458,9317,9573,9969
"POLR2D",7132.66666666667,1269.66666666667,5863,6.56986141034356,4.61755029471834,2.20712767524032,"4.0e-182","6.1e-178",6.41362356828574e-180,6.09294238987146e-178,1231,1192,1386,5870,5697,6022
"CSF1",48084,36841.3333333333,11242.6666666667,9.32226379533406,0.305164599998281,-1.71234047992669,"1.5e-181","2.2e-177",2.34031511802886e-179,2.24670251330771e-177,35848,38089,36587,11657,11436,10635
"IRF1",37303.3333333333,27611,9692.33333333333,8.95604769555216,0.351044459991999,-1.5102743345912,"4.3e-181","6.5e-177",6.71998669254486e-179,6.51838709176852e-177,27335,28178,27320,9788,9873,9416
"RNF19B",16665,12658,4007,7.79379456518962,0.31659191159358,-1.65930369744415,"1.2e-180","1.8e-176",1.8386201314217e-178,1.80184772879327e-176,12701,13084,12189,3986,3915,4120
"PEAR1",3230.66666666667,2694,536.666666666667,5.4282762829445,0.199241852174994,-2.32740736724416,"1.3e-180","2.0e-176",2.05055457329191e-178,2.03004902755899e-176,2644,2645,2793,550,544,516
"TIMP1",25286.3333333333,19009.3333333333,6277,8.39516997360557,0.330225769331009,-1.59847538882322,"1.6e-179","2.5e-175",2.51079732693329e-177,2.51079732693329e-175,19053,19736,18239,6209,6254,6368
