"name","SYMBOL","ENTREZ","s_MiaFRFP_1","s_MiaFRFP_2","s_MiaFRFP_3","s_Part1Lag_1","s_Part1Lag_2","s_Part1Lag_3"
"ENSG00000006831","ADIPOR2",79602,4281,4543,3065,1747,2600,1195
"ENSG00000006837","CDKL3",51265,33,28,25,60,54,23
"ENSG00000007038","PRSS21",10942,12,4,0,0,0,0
"ENSG00000007047","MARK4",57787,846,888,887,404,529,776
"ENSG00000007062","PROM1",8842,0,0,26,1,0,10
"ENSG00000007080","CCDC124",115098,11156,7739,10532,5754,6498,7199
"ENSG00000007129","CEACAM21",90273,0,2,0,0,6,0
"ENSG00000007168","PAFAH1B1",5048,4926,5702,2342,2856,2474,1313
"ENSG00000007171","NOS2",4843,0,0,0,5,3,1
"ENSG00000007202","BLTP2",9703,16289,17913,13858,5411,6741,4869
"ENSG00000007216","SLC13A2",9058,2,0,2,678,261,3159
"ENSG00000007237","GAS7",8522,0,4,0,257,689,141
"ENSG00000007255","TRAPPC6A",79090,2186,1218,1050,2555,3681,4476
"ENSG00000007264","MATK",4145,2319,1740,1913,100,94,167
"ENSG00000007312","CD79B",974,23,12,12,0,0,1
"ENSG00000007314","SCN4A",6329,10,0,2,0,0,0
"ENSG00000007341","ST7L",54879,854,807,360,854,702,341
"ENSG00000007372","PAX6",5080,786,696,699,484,410,200
"ENSG00000007376","RPUSD1",113000,6518,5216,7729,1988,2073,2334
"ENSG00000007384","RHBDF1",64285,2914,2962,3738,1206,1209,1163
"ENSG00000007392","LUC7L",55692,1717,1684,1346,1332,1611,1498
"ENSG00000007402","CACNA2D2",9254,168,159,207,34,58,41
"ENSG00000007516","BAIAP3",8938,4615,3358,3648,919,839,853
"ENSG00000007520","TSR3",115939,7895,5541,7456,3387,2994,3890
"ENSG00000007541","PIGQ",9091,4007,3255,4825,3141,2304,2666
"ENSG00000007545","CRAMP1",57585,715,862,855,309,338,160
"ENSG00000007866","TEAD3",7005,1083,960,732,201,315,235
"ENSG00000007923","DNAJC11",55735,9798,8986,7091,3010,3184,2215
"ENSG00000007944","MYLIP",29116,447,457,295,1890,3740,2220
"ENSG00000007952","NOX1",27035,15,32,15,7,8,2
"ENSG00000007968","E2F2",1870,1587,1237,1099,245,249,190
"ENSG00000008018","PSMB1",5689,20726,17849,7867,16164,15888,10670
"ENSG00000008056","SYN1",6853,22,51,43,19,24,5
"ENSG00000008083","JARID2",3720,563,840,248,665,464,356
"ENSG00000008086","CDKL5",6792,18,45,64,106,199,114
"ENSG00000008128","CDK11A",728642,42,43,48,29,43,31
"ENSG00000008130","NADK",65220,10805,8576,10585,3491,3748,3554
"ENSG00000008226","DLEC1",9940,8,24,2,15,0,0
"ENSG00000008256","CYTH3",9265,11758,10736,9509,1125,1056,864
"ENSG00000008277","ADAM22",53616,816,1183,517,466,287,209
"ENSG00000008282","SYPL1",6856,9673,13812,2708,6555,2726,892
"ENSG00000008283","CYB561",1534,5010,4563,4199,2962,2505,2459
"ENSG00000008294","SPAG9",9043,10272,14360,7947,3503,4542,2525
"ENSG00000008300","CELSR3",1951,212,92,306,57,290,148
"ENSG00000008311","AASS",10157,10,14,1,14,25,3
"ENSG00000008323","PLEKHG6",55200,409,275,286,47,90,104
"ENSG00000008324","SS18L2",51188,1501,1449,495,994,803,318
"ENSG00000008382","MPND",84954,528,417,662,243,249,234
"ENSG00000008394","MGST1",4257,10634,11786,3975,12803,8029,3616
"ENSG00000008405","CRY1",1407,4636,5754,3013,1416,1491,841
"ENSG00000008441","NFIX",4784,1920,1083,3298,1771,1748,2129
"ENSG00000008513","ST3GAL1",6482,2,4,0,15,145,113
"ENSG00000008516","MMP25",64386,32,53,38,18,69,96
"ENSG00000008517","IL32",9235,216,147,92,599,4145,2537
"ENSG00000008710","PKD1",5310,2130,2049,4377,935,1852,1382
"ENSG00000008735","MAPK8IP2",23542,2634,2905,3503,603,691,849
"ENSG00000008838","MED24",9862,11790,10762,12935,3524,3782,4246
"ENSG00000008853","RHOBTB2",23221,2780,2239,2866,785,823,1212
"ENSG00000008869","HEATR5B",54497,1730,2123,955,928,1236,370
"ENSG00000008952","SEC62",7095,3911,5409,2103,3775,2734,1383
"ENSG00000008988","RPS20",6224,7263,5854,2594,14828,11557,6970
"ENSG00000009307","CSDE1",7812,48670,58845,21815,26496,24030,7968
"ENSG00000009335","UBE3C",9690,17829,18991,13911,5103,4245,3313
"ENSG00000009413","REV3L",5980,1856,2627,1241,3623,2802,944
