"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","20/1009","99/8542",0.202020202020202,1.71026418796488,2.60138768991827,0.0108083803802898,0.0820454328867452,0.0708491919664929,"ASAP1/MYO10/BIN1/PLPP3/ASAP2/PIK3CD/PLD2/DOCK1/AKT3/PLCG1/ASAP3/WASF1/PIP5K1A/DNM2/LIMK1/PRKCA/AKT1/PIP5K1C/SPHK1/ARPC1B",20
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","20/1009","99/8542",0.202020202020202,1.71026418796488,2.60138768991827,0.0108083803802898,0.0820454328867452,0.0708491919664929,"PLPP3/PIK3CD/PLD2/AKT3/PLCG1/MTOR/HIF1A/WASF1/SP1/PIP5K1A/CHKA/DGKH/PRKCA/TSC2/DGKE/MAP2K2/DGKD/AKT1/PIP5K1C/EGFR",20
"hsa04922","Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","21/1009","107/8542",0.196261682242991,1.66151366671915,2.52002080774938,0.0126780068775226,0.0940989843798341,0.081257868641899,"PRKAG2/CREB3L3/CREB3L1/PCK2/CPT1A/ITPR3/PHKA1/AKT3/ACACA/PYGB/GYS1/PYGL/PFKM/ACACB/PKM/PHKA2/PFKP/AKT1/PPARA/PHKB/PLCB3",21
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","35/1009","203/8542",0.172413793103448,1.45962202248727,2.42553654163281,0.0132296696585701,0.0960589057817916,0.0829503314976707,"MYO10/CYTH3/CLDN11/ARHGEF2/F2R/IL18/MYH14/MYH10/PTPN11/MYO1C/NFKB1/TUBB4A/ARHGEF12/BAIAP2L1/WIPF3/SRC/MYH9/CYFIP1/WASF1/NHERF1/IRAK1/SEC24C/TUBA1C/ABCF2/TNFRSF10A/ABL1/TUBB6/MAPK12/TRAF2/BAIAP2/ARHGEF11/SEC24B/ARHGEF1/TNFRSF1A/ARPC1B",35
"hsa03083","Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","17/1009","83/8542",0.204819277108434,1.73396061948488,2.4590550576617,0.0157035841931689,0.111595683415285,0.0963668996400508,"CBX2/AURKB/HDAC1/PHF19/EPOP/TFDP1/ASXL1/WDR5/FBRSL1/HCFC1/CBX7/L3MBTL2/YY2/FOXK1/BAP1/BCOR/TEX10",17
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","28/1009","157/8542",0.178343949044586,1.50982558249639,2.35958636101625,0.0163490383462388,0.113762058492579,0.0982376426945054,"SMAD3/CAPN2/FOXM1/ITPR3/CDK2/E2F2/PIK3CD/AKT3/CDC25A/NFKB1/NFATC1/TRPV4/MYBL2/GATA4/RBL2/MTOR/CCNA2/BTRC/CCNB1/RBL1/CCNB2/TSC2/NFATC3/E2F1/E2F4/MAP2K2/MAPK12/AKT1",28
"hsa00561","Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","14/1009","65/8542",0.215384615384615,1.82340474193794,2.43873668259579,0.017760239124088,0.121059589131538,0.104539323737918,"GPAT3/PLPP3/ALDH1B1/DGAT2/ALDH7A1/LPIN1/GPAM/DGKH/MGLL/AGK/AGPAT5/DGKE/PNPLA2/DGKD",14
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","10/1009","41/8542",0.24390243902439,2.06483115376248,2.50123000230863,0.0184655120202892,0.123349620295532,0.106516848285458,"GLDC/ALDH7A1/CBS/SHMT1/SHMT2/PSAT1/GCAT/SARDH/PHGDH/MAOA",10
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","37/1009","224/8542",0.165178571428571,1.39837002690075,2.21114471104413,0.0210182293628517,0.13764879621946,0.118864702691875,"ESPL1/MAP3K14/MAD1L1/SMAD3/CREB3L3/ADCY3/CREB3L1/FOSL1/DLG1/CDC20/CDK2/E2F2/PIK3CD/AKT3/NFKB1/ANAPC1/NFATC1/NFKB2/CCNA2/VAC14/BUB1B/TLN1/STAT5B/CCNB2/TERT/NFATC3/ADCY5/E2F1/MAP2K2/XPO1/TCF3/AKT1/BCL2L1/TNFRSF13C/CDC27/CDC23/TNFRSF1A",37
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","34/1009","204/8542",0.166666666666667,1.41096795507103,2.17424288744944,0.0231913271070311,0.148959677956699,0.12863205723333,"PXN/CTSL/ITPR3/FLNA/CD44/ERBB3/PTPN11/PIK3CD/IQGAP1/AKT3/PLCG1/PTK2/ITGAV/ARHGEF12/FZD7/DROSHA/SRC/MTOR/HPSE/HIF1A/ITGA5/WNT2B/CAV3/PRKCA/PLAU/CAV1/MAP2K2/FZD3/MAPK12/PLAUR/ERBB2/AKT1/ARHGEF1/EGFR",34
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","24/1009","136/8542",0.176470588235294,1.49396607007521,2.12514144201847,0.0279358473523394,0.176048547465686,0.152024273575789,"MAP3K14/MAP3K5/LMNB2/CTSL/LMNB1/CAPN2/ITPR3/TRAF1/PIK3CD/PARP4/AKT3/NFKB1/PARP1/DFFA/BIRC5/SPTAN1/TUBA1C/TNFRSF10A/MAP2K2/TRAF2/AKT1/DFFB/BCL2L1/TNFRSF1A",24
